"","Volcano Name","rock_type","SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","ERUPTION YEAR","sum_fe","Sum Oxides","CITATION_ID","References","lat","lon","dist_m","Start Year","End Year","Eruption date"
"1","Crater Lake","rhyolitic","rhyodacit",2013,"[17450] ANKNEY M. E.(2013)  [GeoReM [7644] ]","samp. 81C-631",NA,"CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA","CRATER LAKE",42.98,-122.3983,42.98,-122.3983,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,"WHOLE ROCK",70.3929607039296,0.47995200479952,15.3984601539846,2.35976402359764,0.81991800819918,0.04999500049995,2.64973502649735,5.01949805019498,0.10998900109989,2.72,NA,2.63156084391561,99.9118328167183,17450,"[17450] ANKNEY M. E., JOHNSON CLARK M., BACON C. R., BEARD B. L., JICHA B. R.:   DISTINGUISHING LOWER AND UPPER CRUSTAL PROCESSES IN MAGMAS ERUPTED DURING THE BUILDUP TO THE 7.7 KA CLIMACTIC ERUPTION OF MOUNT MAZAMA, CRATER LAKE, OREGON, USING 238U-230TH DISEQUILIBRIA |  CONTRIB. MINERAL. PETROL. 166    [2013]  563-585  | GeoReM-id: 7644 | doi: 10.1007/s00410-013-0891-4",NA,NA,NA,-5680,NA,"5750 BCE"
"2","Crater Lake","rhyolitic","rhyodacit",2013,"[17450] ANKNEY M. E.(2013)  [GeoReM [7644] ]","samp. 79C-154",NA,"CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA","CRATER LAKE, PUMICE FALL",42.9778,-122.1262,42.9778,-122.1262,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,"WHOLE ROCK",70.7161009713419,0.472110333189356,15.0673510592348,2.310327162416,0.793547155786365,0.0502245035307826,2.56446315028176,5.29366267214448,0.110493907767722,2.4,NA,2.53717316404327,99.9154540797364,17450,"[17450] ANKNEY M. E., JOHNSON CLARK M., BACON C. R., BEARD B. L., JICHA B. R.:   DISTINGUISHING LOWER AND UPPER CRUSTAL PROCESSES IN MAGMAS ERUPTED DURING THE BUILDUP TO THE 7.7 KA CLIMACTIC ERUPTION OF MOUNT MAZAMA, CRATER LAKE, OREGON, USING 238U-230TH DISEQUILIBRIA |  CONTRIB. MINERAL. PETROL. 166    [2013]  563-585  | GeoReM-id: 7644 | doi: 10.1007/s00410-013-0891-4",NA,NA,NA,-5680,NA,"5750 BCE"
"3","Rinjani","andesitic","trachyandesit",2022,"[26169] VOIGT A. (2022)","samp. P3-PF2",NA,"SUNDA ARC / SUNDA ARC / LOMBOK / RINDJANI/RINJANI",NA,-8.43,116.26,-8.43,116.26,"SUBAERIAL","VOLCANIC ROCK","TRACHYANDESITE","HOLOCENE","WHOLE ROCK",64.61,0.62,16.98,3.61,1.3,0.14,3.62,4.44,0.19,2.72,1257,4.00411,99.51411,26169,"[26169] VOIGT A., CASSIDY M., CASTRO J. M., PYLE D. M., MATHER T. A., HELO C., ABDURRACHMAN M., KURNIAWAN I. A.:   EXPERIMENTAL INVESTIGATION OF TRACHYDACITE MAGMA STORAGE PRIOR TO THE 1257 ERUPTION OF MT SAMALAS |  J. PETROL. 63 (EGAC066)   [2022]   | doi: 10.1093/petrology/egac066",NA,NA,NA,1257,NA,"1257"
"4","Rinjani","dacitic","dacit",2022,"[26169] VOIGT A. (2022)","samp. P1-PF",NA,"SUNDA ARC / SUNDA ARC / LOMBOK / RINDJANI/RINJANI",NA,-8.43,116.26,-8.43,116.26,"SUBAERIAL","VOLCANIC ROCK","TRACHYDACITE","HOLOCENE","WHOLE ROCK",65.26,0.61,16.74,3.29,1.2,0.17,3.75,4.38,0.19,NA,1257,3.941124,99.531124,26169,"[26169] VOIGT A., CASSIDY M., CASTRO J. M., PYLE D. M., MATHER T. A., HELO C., ABDURRACHMAN M., KURNIAWAN I. A.:   EXPERIMENTAL INVESTIGATION OF TRACHYDACITE MAGMA STORAGE PRIOR TO THE 1257 ERUPTION OF MT SAMALAS |  J. PETROL. 63 (EGAC066)   [2022]   | doi: 10.1093/petrology/egac066",NA,NA,NA,1257,NA,"1257"
"5","Rinjani","dacitic","dacit",2022,"[26169] VOIGT A. (2022)","samp. P2-PF",NA,"SUNDA ARC / SUNDA ARC / LOMBOK / RINDJANI/RINJANI",NA,-8.43,116.26,-8.43,116.26,"SUBAERIAL","VOLCANIC ROCK","TRACHYDACITE","HOLOCENE","WHOLE ROCK",64.52,0.64,16.87,3.55,1.34,0.15,3.6,4.36,0.2,NA,1257,4.27405,99.50405,26169,"[26169] VOIGT A., CASSIDY M., CASTRO J. M., PYLE D. M., MATHER T. A., HELO C., ABDURRACHMAN M., KURNIAWAN I. A.:   EXPERIMENTAL INVESTIGATION OF TRACHYDACITE MAGMA STORAGE PRIOR TO THE 1257 ERUPTION OF MT SAMALAS |  J. PETROL. 63 (EGAC066)   [2022]   | doi: 10.1093/petrology/egac066",NA,NA,NA,1257,NA,"1257"
"6","Rinjani","dacitic","dacit",2022,"[26169] VOIGT A. (2022)","samp. P3-PF",NA,"SUNDA ARC / SUNDA ARC / LOMBOK / RINDJANI/RINJANI",NA,-8.43,116.26,-8.43,116.26,"SUBAERIAL","VOLCANIC ROCK","TRACHYDACITE","HOLOCENE","WHOLE ROCK",61.33,0.72,18.18,5.22,1.87,0.15,2.91,4.18,0.2,NA,1257,4.705954,99.465954,26169,"[26169] VOIGT A., CASSIDY M., CASTRO J. M., PYLE D. M., MATHER T. A., HELO C., ABDURRACHMAN M., KURNIAWAN I. A.:   EXPERIMENTAL INVESTIGATION OF TRACHYDACITE MAGMA STORAGE PRIOR TO THE 1257 ERUPTION OF MT SAMALAS |  J. PETROL. 63 (EGAC066)   [2022]   | doi: 10.1093/petrology/egac066",NA,NA,NA,1257,NA,"1257"
"7","Rinjani","dacitic","dacit",2022,"[26169] VOIGT A. (2022)","samp. P4-P IN PDC",NA,"SUNDA ARC / SUNDA ARC / LOMBOK / RINDJANI/RINJANI",NA,-8.43,116.26,-8.43,116.26,"SUBAERIAL","VOLCANIC ROCK","TRACHYDACITE","HOLOCENE","WHOLE ROCK",63.34,0.64,17.07,4.04,1.42,0.14,3.48,4.7,0.2,NA,1257,4.193068,99.223068,26169,"[26169] VOIGT A., CASSIDY M., CASTRO J. M., PYLE D. M., MATHER T. A., HELO C., ABDURRACHMAN M., KURNIAWAN I. A.:   EXPERIMENTAL INVESTIGATION OF TRACHYDACITE MAGMA STORAGE PRIOR TO THE 1257 ERUPTION OF MT SAMALAS |  J. PETROL. 63 (EGAC066)   [2022]   | doi: 10.1093/petrology/egac066",NA,NA,NA,1257,NA,"1257"
"8","Rinjani","dacitic","dacit",2022,"[26169] VOIGT A. (2022)","samp. P4-(MIDDLE) PDC",NA,"SUNDA ARC / SUNDA ARC / LOMBOK / RINDJANI/RINJANI",NA,-8.43,116.26,-8.43,116.26,"SUBAERIAL","VOLCANIC ROCK","TRACHYDACITE","HOLOCENE","WHOLE ROCK",63.38,0.68,17.46,3.92,1.55,0.14,3.31,4.05,0.21,NA,1257,4.759942,99.459942,26169,"[26169] VOIGT A., CASSIDY M., CASTRO J. M., PYLE D. M., MATHER T. A., HELO C., ABDURRACHMAN M., KURNIAWAN I. A.:   EXPERIMENTAL INVESTIGATION OF TRACHYDACITE MAGMA STORAGE PRIOR TO THE 1257 ERUPTION OF MT SAMALAS |  J. PETROL. 63 (EGAC066)   [2022]   | doi: 10.1093/petrology/egac066",NA,NA,NA,1257,NA,"1257"
"9","Rinjani","dacitic","dacit",2022,"[26169] VOIGT A. (2022)","samp. P4-PF BAND IN PDC",NA,"SUNDA ARC / SUNDA ARC / LOMBOK / RINDJANI/RINJANI",NA,-8.43,116.26,-8.43,116.26,"SUBAERIAL","VOLCANIC ROCK","TRACHYDACITE","HOLOCENE","WHOLE ROCK",64.34,0.65,17.06,3.72,1.36,0.14,3.55,4.33,0.2,NA,1257,4.166074,99.516074,26169,"[26169] VOIGT A., CASSIDY M., CASTRO J. M., PYLE D. M., MATHER T. A., HELO C., ABDURRACHMAN M., KURNIAWAN I. A.:   EXPERIMENTAL INVESTIGATION OF TRACHYDACITE MAGMA STORAGE PRIOR TO THE 1257 ERUPTION OF MT SAMALAS |  J. PETROL. 63 (EGAC066)   [2022]   | doi: 10.1093/petrology/egac066",NA,NA,NA,1257,NA,"1257"
"10","Rinjani","dacitic","dacit",2022,"[26169] VOIGT A. (2022)","samp. P4-(TOP) PDC",NA,"SUNDA ARC / SUNDA ARC / LOMBOK / RINDJANI/RINJANI",NA,-8.43,116.26,-8.43,116.26,"SUBAERIAL","VOLCANIC ROCK","TRACHYDACITE","HOLOCENE","WHOLE ROCK",64.36,0.65,17.08,3.5,1.41,0.14,3.62,4.28,0.2,NA,1257,4.265052,99.505052,26169,"[26169] VOIGT A., CASSIDY M., CASTRO J. M., PYLE D. M., MATHER T. A., HELO C., ABDURRACHMAN M., KURNIAWAN I. A.:   EXPERIMENTAL INVESTIGATION OF TRACHYDACITE MAGMA STORAGE PRIOR TO THE 1257 ERUPTION OF MT SAMALAS |  J. PETROL. 63 (EGAC066)   [2022]   | doi: 10.1093/petrology/egac066",NA,NA,NA,1257,NA,"1257"
