"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","ERUPTION YEAR","sum_fe","Sum Oxides","CITATION_ID","References"
"phonolit","1989","[10054] PE-PIPER G. (1989)","samp. KU307",NA,"ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / KULA VOLCANIC FIELD","KULA",38.54,28.65,38.54,28.65,"SUBAERIAL","VOLCANIC ROCK","PHONOLITIC-TEPHRITE",NA,"WHOLE ROCK",46.31,2,16.79,9.08,6.81,3.31,4.99,1.13,0,NA,7.711286,98.131286,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"phonolit","1994","[1007] BARLING J.(1994)  [GeoReM [220] ]","samp. 65119",NA,"MCDONALD ISLANDS / MCDONALD ISLAND",NA,-52.83,72.48,-52.83,72.48,"SUBAERIAL","VOLCANIC ROCK","PHONOLITE",NA,"WHOLE ROCK",54.36,1.65,19.43,3.6,1.8,6.5,6.75,0.48,NA,NA,5.261824,99.831824,"1007","[1007] BARLING J., GOLDSTEIN S. L., NICHOLLS I. A.:   GEOCHEMISTRY OF HEARD ISLAND (SOUTHERN INDIAN OCEAN): CHARACTERIZATION OF AN ENRICHED MANTLE COMPONENT AND IMPLICATIONS FOR ENRICHMENT OF THE SUB-INDIAN OCEAN MANTLE |  J. PETROL. 35    [1994]  1017-1053  | GeoReM-id: 220 | doi: 10.1093/petrology/35.4.1017"
"phonolit","1994","[1007] BARLING J.(1994)  [GeoReM [220] ]","samp. 65133",NA,"MCDONALD ISLANDS / MCDONALD ISLAND",NA,-52.83,72.48,-52.83,72.48,"SUBAERIAL","VOLCANIC ROCK","PHONOLITE",NA,"WHOLE ROCK",57.14,0.77,21.7,1.7,0.84,6.93,7.22,0.14,NA,NA,3.422886,99.862886,"1007","[1007] BARLING J., GOLDSTEIN S. L., NICHOLLS I. A.:   GEOCHEMISTRY OF HEARD ISLAND (SOUTHERN INDIAN OCEAN): CHARACTERIZATION OF AN ENRICHED MANTLE COMPONENT AND IMPLICATIONS FOR ENRICHMENT OF THE SUB-INDIAN OCEAN MANTLE |  J. PETROL. 35    [1994]  1017-1053  | GeoReM-id: 220 | doi: 10.1093/petrology/35.4.1017"
"phonolit","1994","[1007] BARLING J.(1994)  [GeoReM [220] ]","samp. 65125",10956,"MCDONALD ISLANDS / MCDONALD ISLAND",NA,-52.83,72.48,-52.83,72.48,"SUBAERIAL","VOLCANIC ROCK","PHONOLITE",NA,"WHOLE ROCK",57.33,0.92,19.73,2.15,1.26,5.99,8.36,0.24,NA,NA,3.845872,99.825872,"1007","[1007] BARLING J., GOLDSTEIN S. L., NICHOLLS I. A.:   GEOCHEMISTRY OF HEARD ISLAND (SOUTHERN INDIAN OCEAN): CHARACTERIZATION OF AN ENRICHED MANTLE COMPONENT AND IMPLICATIONS FOR ENRICHMENT OF THE SUB-INDIAN OCEAN MANTLE |  J. PETROL. 35    [1994]  1017-1053  | GeoReM-id: 220 | doi: 10.1093/petrology/35.4.1017"
"phonolit","1994","[1007] BARLING J.(1994)  [GeoReM [220] ]","samp. 65124",NA,"MCDONALD ISLANDS / MCDONALD ISLAND",NA,-52.83,72.48,-52.83,72.48,"SUBAERIAL","VOLCANIC ROCK","PHONOLITE",NA,"WHOLE ROCK",57.25,0.38,20.83,0.94,0.17,6.15,10.33,0.05,NA,NA,3.717876,99.817876,"1007","[1007] BARLING J., GOLDSTEIN S. L., NICHOLLS I. A.:   GEOCHEMISTRY OF HEARD ISLAND (SOUTHERN INDIAN OCEAN): CHARACTERIZATION OF AN ENRICHED MANTLE COMPONENT AND IMPLICATIONS FOR ENRICHMENT OF THE SUB-INDIAN OCEAN MANTLE |  J. PETROL. 35    [1994]  1017-1053  | GeoReM-id: 220 | doi: 10.1093/petrology/35.4.1017"
"phonolit","1993","[1008] WEIS D. (1993)","samp. LVLK93",NA,"KERGUELEN / KERGUELEN ARCHIPELAGO","RONARC^H PENINSULA, EXTRUSION AT THE BASE OF THE VALLEE DE L^ELEPHANT",-48.55,68.5,-49.75,70.58,"SUBAERIAL","VOLCANIC ROCK","TEPHRITIC-PHONOLITE",NA,"WHOLE ROCK",52.8,1.9,18.02,5.06,1.85,5.45,6.14,0.66,NA,NA,6.937456,98.817456,"1008","[1008] WEIS D., FREY F. A., LEYRIT H., GAUTIER I.:   KERGUELEN ARCHIPELAGO REVISITED: GEOCHEMICAL AND ISOTOPIC STUDY OF THE SOUTHEAST PROVINCE LAVAS |  EARTH PLANET. SCI. LETT. 118    [1993]  101-119  | doi: 10.1016/0012-821X(93)90162-3"
"phonolit","1993","[1008] WEIS D. (1993)","samp. LVLK90",NA,"KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT ROUGE","RONARC^H PENINSULA, NORTHWEST FLANK OF MOUNT ROUGE",-48.55,68.5,-49.75,70.58,"SUBAERIAL","VOLCANIC ROCK","TEPHRITIC-PHONOLITE",NA,"WHOLE ROCK",53.18,1.81,18.66,4.65,1.96,6.27,5.5,0.5,NA,NA,6.26467,98.79467,"1008","[1008] WEIS D., FREY F. A., LEYRIT H., GAUTIER I.:   KERGUELEN ARCHIPELAGO REVISITED: GEOCHEMICAL AND ISOTOPIC STUDY OF THE SOUTHEAST PROVINCE LAVAS |  EARTH PLANET. SCI. LETT. 118    [1993]  101-119  | doi: 10.1016/0012-821X(93)90162-3"
"phonolit","1993","[1008] WEIS D. (1993)","samp. LVLK81",11400,"KERGUELEN / KERGUELEN ARCHIPELAGO","RONARC^H PENINSULA, SOUTHERN FLANK OF LA TOUR DE PISE",-48.55,68.5,-49.75,70.58,"SUBAERIAL","VOLCANIC ROCK","PHONOLITE",NA,"WHOLE ROCK",56.32,0.31,22.1,1.04,0.17,6.04,10.68,0.05,NA,NA,2.738598,99.448598,"1008","[1008] WEIS D., FREY F. A., LEYRIT H., GAUTIER I.:   KERGUELEN ARCHIPELAGO REVISITED: GEOCHEMICAL AND ISOTOPIC STUDY OF THE SOUTHEAST PROVINCE LAVAS |  EARTH PLANET. SCI. LETT. 118    [1993]  101-119  | doi: 10.1016/0012-821X(93)90162-3"
"phonolit","1993","[1008] WEIS D. (1993)","samp. LVLK86",NA,"KERGUELEN / KERGUELEN ARCHIPELAGO","JEANNE D^ARC PENINSULA, EXTRUSION OF LE COLISEE",-48.55,68.5,-49.75,70.58,"SUBAERIAL","VOLCANIC ROCK","PHONOLITE",NA,"WHOLE ROCK",56.43,0.22,22.05,0.87,0.05,5.81,11.1,0.01,NA,NA,3.012566,99.552566,"1008","[1008] WEIS D., FREY F. A., LEYRIT H., GAUTIER I.:   KERGUELEN ARCHIPELAGO REVISITED: GEOCHEMICAL AND ISOTOPIC STUDY OF THE SOUTHEAST PROVINCE LAVAS |  EARTH PLANET. SCI. LETT. 118    [1993]  101-119  | doi: 10.1016/0012-821X(93)90162-3"
"phonolit","1993","[1008] WEIS D. (1993)","samp. LVLK121",NA,"KERGUELEN / KERGUELEN ARCHIPELAGO","JEANNE D^ARC PENINSULA, EXTRUSION AT THE SOUTHERN END OF THE VAL SOMBRE",-48.55,68.5,-49.75,70.58,"SUBAERIAL","VOLCANIC ROCK","PHONOLITE",NA,"WHOLE ROCK",57.63,0.22,22.44,0.79,0.12,5.73,10.4,0.03,NA,NA,1.698778,99.058778,"1008","[1008] WEIS D., FREY F. A., LEYRIT H., GAUTIER I.:   KERGUELEN ARCHIPELAGO REVISITED: GEOCHEMICAL AND ISOTOPIC STUDY OF THE SOUTHEAST PROVINCE LAVAS |  EARTH PLANET. SCI. LETT. 118    [1993]  101-119  | doi: 10.1016/0012-821X(93)90162-3"
