Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);NIO(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);LOI(WT%);K(WT%);LI(PPM);BE(PPM);B(PPM);P(PPM);AR36(CCMSTP/G);AR40(CCMSTP/G);AR40(MOL/G);K(PPM);SC(PPM);TI(PPM);V(PPM);;;;CR(PPM);;;;MN(PPM);CO(PPM);NI(PPM): altern. values or methods;;;;CU(PPM);ZN(PPM);GA(PPM);GE(PPM);AS(PPM);SE(PPM);BR(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM): altern. values or methods;;;;W(PPM);RE(PPT);OS(PPT);IR(PPB);AU(PPB);TL(PPM);PB(PPM);PB206(PPM);BI(PPM);RA(PPT);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;RB87_SR86;PB206_PB204;PB207_PB204;PB207_PB206;PB208_PB204;OS187_OS188;RE187_OS188;HF176_HF177;HF176_HF177_INI;EPSILON_HF;EPSILON_HF_INI;LU176_HF177;YB176_HF177;PB206_U238;PB207_U235;PB208_TH232;RA226_TH230_ACT;TH230_TH232_ACT;TH232_U238;U238_TH230_ACT;U238_TH232_ACT;D7LI(PER MIL);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D29SI(VS NBS28);D30SI(VS NBS28);D41K(VS SRM3141A);D49TI(VS OL-TI);D65CU(VS NBS-976);D66ZN(VS JMC-LYON);D68ZN(VS JMC-LYON);D98_95MO(VS NIST3134);ALBITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);WOLLASTONITE(MOL%);AGE(MA): altern. values or methods;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);AGE_PB208_TH232(MA);
1998;[2198] YOGODZINSKI G. M. (1998);samp. V3842Y3;28889;ALEUTIAN ARC / KOMANDORSKY ISLANDS / KAMCHATKA STRAIT;DREDGE 42;55.8;166.7;55.8;166.7;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;MIDDLE;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;RIM;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;1587;195;SIMS;;;397;SIMS;;;;;;;;;;;;;;;;;;;;36;SIMS;;;;;;;9.17;SIMS;;;;;;;;;;;;;;;;;;1.68;SIMS;;;8.56;SIMS;;;;10.9;SIMS;;;3.45;SIMS;;;1.18;;;1.53;;0.58;;0.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. V3842Y3;28889;ALEUTIAN ARC / KOMANDORSKY ISLANDS / KAMCHATKA STRAIT;DREDGE 42;55.8;166.7;55.8;166.7;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;MIDDLE;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;CORE;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;1855;76;SIMS;;;1644;SIMS;;;;;;;;;;;;;;;;;;;;154;SIMS;;;;;;;20.9;SIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. V3842Y3;28889;ALEUTIAN ARC / KOMANDORSKY ISLANDS / KAMCHATKA STRAIT;DREDGE 42;55.8;166.7;55.8;166.7;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;MIDDLE;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;RIM;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1802;40;SIMS;;;1295;SIMS;;;;;;;;;;;;;;;;;;;;384;SIMS;;;;;;;30.9;SIMS;;;;;;;;;;;;;;;;;;2.83;SIMS;;;11.5;SIMS;;;;10.7;SIMS;;;2.97;SIMS;;;0.92;;;0.95;;0.32;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. V3842Y3;28889;ALEUTIAN ARC / KOMANDORSKY ISLANDS / KAMCHATKA STRAIT;DREDGE 42;55.8;166.7;55.8;166.7;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;MIDDLE;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;CORE;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1517;50;SIMS;;;1287;SIMS;;;;;;;;;;;;;;;;;;;;162;SIMS;;;;;;;12.5;SIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. V3842Y3;28889;ALEUTIAN ARC / KOMANDORSKY ISLANDS / KAMCHATKA STRAIT;DREDGE 42;55.8;166.7;55.8;166.7;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;MIDDLE;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;RIM;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;2400;159;SIMS;;;1179;SIMS;;;;;;;;;;;;;;;;;;;;153;SIMS;;;;;;;18.3;SIMS;;;;;;;;;;;;;;;;;;2;SIMS;;;9;SIMS;;;;10.3;SIMS;;;3.2;SIMS;;;1.14;;;1.99;;0.89;;0.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. V3842Y3;28889;ALEUTIAN ARC / KOMANDORSKY ISLANDS / KAMCHATKA STRAIT;DREDGE 42;55.8;166.7;55.8;166.7;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;MIDDLE;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1720;58;SIMS;;;705;SIMS;;;;;;;;;;;;;;;;;;;;145;SIMS;;;;;;;14.2;SIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. V3841Y3;28885;ALEUTIAN ARC / KOMANDORSKY ISLANDS / KAMCHATKA STRAIT;DREDGE 41;55.8;166.7;55.8;166.7;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;MIDDLE;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;1522;44;SIMS;;;1713;SIMS;;;;;;;;;;;;;;;;;;;;181;SIMS;;;5.71;SIMS;;;15.8;SIMS;;;;;;;;;;;;;;;;;;2.11;SIMS;;;9.25;SIMS;;;;10.4;SIMS;;;3.26;SIMS;;;1.23;;;1.52;;0.62;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. V3841Y3;28885;ALEUTIAN ARC / KOMANDORSKY ISLANDS / KAMCHATKA STRAIT;DREDGE 41;55.8;166.7;55.8;166.7;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;MIDDLE;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1723;52;SIMS;;;1517;SIMS;;;;;;;;;;;;;;;;;;;;197;SIMS;;;5;SIMS;;;17.9;SIMS;;;;;;;;;;;;;;;;;;2.25;SIMS;;;9.69;SIMS;;;;11.2;SIMS;;;3.62;SIMS;;;1.29;;;1.6;;0.63;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. V3841Y3;28885;ALEUTIAN ARC / KOMANDORSKY ISLANDS / KAMCHATKA STRAIT;DREDGE 41;55.8;166.7;55.8;166.7;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;MIDDLE;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;2392;65;SIMS;;;1490;SIMS;;;;;;;;;;;;;;;;;;;;190;SIMS;;;7.85;SIMS;;;35;SIMS;;;;;;;;;;;;;;;;;;3.03;SIMS;;;12.5;SIMS;;;;13.9;SIMS;;;4.18;SIMS;;;1.55;;;1.67;;0.7;;1.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. ADK53;30926;ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK / MOUNT MOFFETT;;51.92;-176.75;51.92;-176.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;ADAKITE;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;CORE;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;2157;367;SIMS;;;96;SIMS;;;;;;;;;;;;;;;;;;;;47;SIMS;;;;;;;137;SIMS;;;;;;;;;;;;;;;;;;0.78;SIMS;;;3.99;SIMS;;;;5.36;SIMS;;;2.28;SIMS;;;0.7;;;2.09;;1.15;;1.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
