"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","ALTERATION","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","CRYSTAL","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","C(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","K(WT%)","LI(PPM)","BE(PPM)","F(PPM)","AR40(CCMSTP/G)","CA(PPM)","SC(PPM)","V(PPM)","CR(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","AS(PPM)","RB(PPM)","SR(PPM)","Y(PPM): altern. values or methods","","","","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPB)","PD(PPB)","SN(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","IR(PPB)","PT(PPB)","AU(PPB)","PB(PPM): altern. values or methods","","","","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND_INI","SM147_ND144","SR87_SR86","SR87_SR86_INI","EPSILON_SR_INI","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","U238_PB204","D18O(PER MIL)","AGE(KA)","AGE(MA)",
"1971"," [636] OVERSBY V. M. (1971)","samp. UCTD12","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, OLIVINE","","","","","","","","","WHOLE ROCK","","","","37.63","4.08","9.58","","","4.82","","8.69","12.39","12.97","0.25","","1.72","3.42","1.17","1.91","","","0.73","","","","","","","","","","","","","","","","","","","","","38.4","1255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11","NOT","","","","2.49","","","","","","","","","18.966","15.546","38.702","","","","",
"1994"," [818] MAURY R. C. (1994)","samp. TB46","","AUSTRAL-COOK ISLANDS / TUBUAI / HERANI","","-23.36","-149.45","-23.36","-149.45","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","DIKE","","","","","","","WHOLE ROCK","","","","41.65","3.07","14.98","","14.78","","","","11.13","5.44","0.23","","1.36","4.29","0.85","","","","","","","","","","1.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [818] MAURY R. C. (1994)","samp. TB31","","AUSTRAL-COOK ISLANDS / TUBUAI / HERANI","","-23.36","-149.45","-23.36","-149.45","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","LAVA","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","0.92","","","","","","","","","","","","","","","","","5.58E-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11300","",
"1994"," [818] MAURY R. C. (1994)","samp. TB31","","AUSTRAL-COOK ISLANDS / TUBUAI / HERANI","","-23.36","-149.45","-23.36","-149.45","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","LAVA","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","0.92","","","","","","","","","","","","","","","","","2.83E-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12080","",
"1997"," [1577] CAROFF M. (1997)","samp. TB-102","","AUSTRAL-COOK ISLANDS / TUBUAI / TAITAA","","-23.39","-149.47","-23.39","-149.47","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","41","4","15.15","","14.7","","","","11.45","6.16","0.22","","1.38","3.7","0.63","","","","","","","","","","1.6","","","","","","","15","","5","46","40","","","","30","890","31.5","ICPAES","","","260","91","","","","","","460","ICPAES","","","65","ICPAES","","","130","ICPAES","","","","63","ICPAES","","","","3.35","","","7","","2.8","","2.13","","","","","","","","","","","","7.2","","","","","","","","","","","","","","","","",
"1997"," [1577] CAROFF M. (1997)","samp. TB-24","","AUSTRAL-COOK ISLANDS / TUBUAI / TAITAA","","-23.39","-149.47","-23.39","-149.47","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","41","3.51","15.2","","15","","","","11.15","6.25","0.23","","1.2","3.85","0.64","","","","","","","","","","1.64","","","","","","","17","","11","47","35","","","","25","875","33.5","ICPAES","","","280","94","","","","","","460","ICPAES","","","69","ICPAES","","","138","ICPAES","","","","65","ICPAES","","","","3.45","","","7","","3","","2.17","","","","","","","","","","","","8","","","","","","","","","","","","","","","","",
"1997"," [1577] CAROFF M. (1997)","samp. TB-211","","AUSTRAL-COOK ISLANDS / TUBUAI / TAITAA","","-23.39","-149.47","-23.39","-149.47","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","41.8","3.98","15.55","","14.65","","","","11.15","5.79","0.22","","1.42","4","0.67","","","","","","","","","","0.63","","","","","","","16.8","","7","47","45","","","","33","915","32.5","ICPAES","","","267","95","","","","","","497","ICPAES","","","66","ICPAES","","","130","ICPAES","","","","64","ICPAES","","","","3.43","","","6.7","","3.1","","2.25","","","","","","","","","","","","7.4","","","","","","","","","","","","","","","","",
"1997"," [1577] CAROFF M. (1997)","samp. TB-243","","AUSTRAL-COOK ISLANDS / TUBUAI / TAITAA","","-23.39","-149.47","-23.39","-149.47","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","41.1","3.48","15.35","","14.9","","","","11.34","6.03","0.23","","1.25","3.95","0.65","","","","","","","","","","1.36","","","","","","","16","","9","48","33","","","","29.5","870","32.5","ICPAES","","","275","95","","","","","","445","ICPAES","","","70","ICPAES","","","135","ICPAES","","","","63","ICPAES","","","","3.51","","","6.7","","3.2","","2.2","","","","","","","","","","","","8","","","","","","","","","","","","","","","","",
"1997"," [1577] CAROFF M. (1997)","samp. TB-140","","AUSTRAL-COOK ISLANDS / TUBUAI / TAITAA","","-23.39","-149.47","-23.39","-149.47","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","41","2.98","14.4","","15.4","","","","10.9","4.8","0.26","","1.52","4.58","1.03","","","","","","","","","","2.77","","","","","","","9","","6","43","26","","","","59","1075","40","ICPAES","","","400","143","","","","","","600","ICPAES","","","107","ICPAES","","","205","ICPAES","","","","89","ICPAES","","","","4.5","","","8.7","","3.5","","2.55","","","","","","","","","","","","14.3","","","","","","","","","","","","","","","","",
"1997"," [1577] CAROFF M. (1997)","samp. TB-46","","AUSTRAL-COOK ISLANDS / TUBUAI / TAITAA","","-23.39","-149.47","-23.39","-149.47","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","41.5","3.08","14.95","","14.7","","","","11.3","5.57","0.22","","1.55","4.8","0.75","","","","","","","","","","1.41","","","","","","","15","","11","44","47","","","","50","910","35","ICPAES","","","334","116","","","","","","530","ICPAES","","","86","ICPAES","","","168","ICPAES","","","","72","ICPAES","","","","3.7","","","7.3","","3","","2.45","","","","","","","","","","","","11","","","","","","","","","","","","","","","","",
