Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);GRAIN SIZE;PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);V2O3(WT%);V2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);COO(WT%);K2O(WT%);;;;NA2O(WT%);;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);CL2(WT%);SO3(WT%);S(WT%);LOI(WT%);O(WT%);SI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%): altern. values or methods;;;;NA(WT%);CR(WT%);NI(WT%);HE(CCMSTP/G);HE3(CCMSTP/G);HE4(CCMSTP/G): altern. values or methods;;;;LI(PPM);BE(PPM);B(PPM);F(PPM);NE20(CCMSTP/G);NE22(CCMSTP/G);P(PPM);S(PPM);CL(PPM);AR36(CCMSTP/G);AR40(CCMSTP/G);AR40(MOL/G): altern. values or methods;;;;AR40(PPB);K(PPM);SC(PPM): altern. values or methods;;;;;;TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);FE(PPM);CO(PPM): altern. values or methods;;;;;;NI(PPM): altern. values or methods;;;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);KR84(CCMSTP/G);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);IN(PPM);SN(PPM);SB(PPM);XE132(CCMSTP/G);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM): altern. values or methods;;;;ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM);TB(PPM): altern. values or methods;;;;DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM): altern. values or methods;;;;LU(PPM);HF(PPM): altern. values or methods;;;;TA(PPM);W(PPM);RE(PPB): altern. values or methods;;;;RE(PPT);OS(PPB): altern. values or methods;;;;OS(PPT);IR(PPB);PT(PPB);AU(PPB);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB210_ACT(DPM/G);TH(PPM): altern. values or methods;;;;TH(PPB);U(PPM): altern. values or methods;;;;U(PPB);CO2(PPM);H2O(PPM);ND143_ND144;ND148_ND144;SM147_ND144;SR87_SR86;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB207;PB206_PB208;PB207_PB204: altern. values or methods;;;;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB206;OS187_OS186;OS187_OS188: altern. values or methods;;;;RE187_OS188: altern. values or methods;;;;HF176_HF177;HE3_HE4;HE3_HE4(R/R(A)): altern. values or methods;;;;HE4_HE3: altern. values or methods;;;;;;HE4_HE3(R/R(A)): altern. values or methods;;;;AR38_AR36;AR40_AR36;NE20_NE22;NE21_NE22;XE129_XE132;PB206_U238;PB207_U235;PB210_U238;TH232_U238;U238_PB204;D13C(VS SMOW);D17O(VS VSMOW);D18O(PER MIL);D18O(VS PDB);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS CDT);D44_40CA(VS SRM915A);D56FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ACMITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);LARNITE(MOL%);ORTHOCLASE(MOL%);PSEUDOBROOKITE(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
1995;[12] JEFFRIES T. E. (1995);samp. MK-ANK;;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA;;19.83;-155.42;19.83;-155.42;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;PORPHYRITIC;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);GROUNDMASS;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.82;;12.95;;;;;;;;;;;;;;;21;ICPMS_LPMA;;;;;710.4;229.01;ICPMS_LPMA;;;100.6;ICPMS_LPMA;;;2018;;32.75;ICPMS_LPMA;;;;;149.6;ICPMS_LPMA;;;;;;;;;63.8;ICPMS_LA;;;15.76;ICPMS_LPMA;;;;;;5.45;ICPMS_LA;;;362.67;ICPMS_LPMA;;;16.87;ICPMS_LA;;;118;ICPMS_LA;;;16.33;ICPMS_LA;;;;;;;;;;;0.17;130.6;ICPMS_LA;;;14.11;ICPMS_LA;;;30.2;ICPMS_LPMA;;;4.06;ICPMS_LA;;;20.1;ICPMS_LA;;;4.79;ICPMS_LA;;;1.59;ICPMS_LA;;;4.52;0.68;ICPMS_LA;;;3.77;0.71;1.75;0.25;1.53;ICPMS_LA;;;0.22;3.57;ICPMS_LA;;;1.14;;;;;;;;;;;;;;;;;4.43;ICPMS_LA;;;;1.1;ICPMS_LA;;;;0.35;ICPMS_LA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;[12] JEFFRIES T. E. (1995);samp. MK-ANK;;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA;;19.83;-155.42;19.83;-155.42;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;PORPHYRITIC;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.58;;12.18;;;;;;;;;;;;;;;4.72;ICPMS_LPMA;;;;;;;;;;257.8;ICPMS_LPMA;;;1831;;98.48;ICPMS_LPMA;;;;;1493;ICPMS_LPMA;;;;;;;;;54.75;ICPMS_LA;;;;;;;;;;;;;;;;;;;;;;;;;;1.13;ICPMS_LA;;;;;;;;;;;;;;;;0.164;ICPMS_LA;;;;;;;0.066;ICPMS_LA;;;0.327;ICPMS_LA;;;0.272;ICPMS_LA;;;0.563;ICPMS_LA;;;0.093;0.025;ICPMS_LA;;;0.174;0.023;0.043;0.02;0.062;ICPMS_LA;;;0.028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;[12] JEFFRIES T. E. (1995);samp. MK-ANK;;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA;;19.83;-155.42;19.83;-155.42;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;PORPHYRITIC;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;MK-ANK_1;PHENOCRYST;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.77;;7.03;;;;;;;;;;;;;;;55.28;ICPMS_LPMA;;;;;;;;;;;;;;;;29.62;ICPMS_LPMA;;;;;;;;;;;;;;;24.56;ICPMS_LA;;;5.04;ICPMS_LPMA;;;;;;0.981;ICPMS_LA;;;32.93;ICPMS_LPMA;;;7.82;ICPMS_LA;;;14.45;ICPMS_LA;;;0.59;ICPMS_LA;;;;;;;;;;;0.14;2.93;ICPMS_LA;;;0.84;ICPMS_LA;;;4.02;ICPMS_LPMA;;;0.77;ICPMS_LA;;;5.15;ICPMS_LA;;;1.98;ICPMS_LA;;;0.74;ICPMS_LA;;;2.33;0.37;ICPMS_LA;;;2.25;0.4;0.98;0.14;0.74;ICPMS_LA;;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;0.057;ICPMS_LA;;;;0.041;ICPMS_LA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;[12] JEFFRIES T. E. (1995);samp. MK-ANK;;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA;;19.83;-155.42;19.83;-155.42;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;PORPHYRITIC;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;MK-ANK_2;PHENOCRYST;CORE;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;527.3;172.5;ICPMS_LPMA;;;1853;ICPMS_LPMA;;;1136;;;;;;;;168.1;ICPMS_LPMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;[12] JEFFRIES T. E. (1995);samp. MK-ANK;;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA;;19.83;-155.42;19.83;-155.42;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;PORPHYRITIC;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;MK-ANK_3;PHENOCRYST;RIM;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243.3;4277;ICPMS_LPMA;;;878.3;ICPMS_LPMA;;;229.8;;;;;;;;425.9;ICPMS_LPMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;[18] PEGRAM W. J. (1992);samp. IC2;;ICELAND / ICELAND;;63.5;-13.5;66.5;-24.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.163;SIMS;;;;0.111;SIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;[40] FREY F. A. (1991);samp. LP-4;;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES;LAUPAHOEHOE GULCH;20;-155.25;20;-155.25;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;FRESH;;WHOLE ROCK;;;;;;;;;;;;;;47.16;2.31;10.32;;;;12.89;;;;10.79;14.2;0.18;;;;;;0.45;XRF;;;1.84;XRF;1.77;INAA;0.25;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.2;INAA;;;;;;253;XRF;;;1180;INAA;;;;;69;INAA;;;;;409;XRF;;;;;;;;;111;XRF;;;17;XRF;;;;;;7;XRF;;;356;XRF;;;21;XRF;;;162;XRF;;;16.4;XRF;;;;;;;;;;;;163;XRF;;;13.8;INAA;;;35.2;INAA;;;;;;;20.8;INAA;;;5.09;INAA;;;1.87;INAA;;;;0.67;INAA;;;;0.7;;;1.64;INAA;;;0.21;3.7;INAA;;;0.9;;;;;;;;;;;;;;;;;;;;;;0.6;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;[40] FREY F. A. (1991);samp. C-76;3514;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / UPPER HAMAKUA SERIES;LAUPAHOEHOE GULCH;20;-155.25;20;-155.25;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;FRESH;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.73;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.3;INAA;;;;;;227;XRF;;;1180;INAA;;;;;71;INAA;;;;;425;XRF;;;;;;;;;97;XRF;;;18;XRF;;;;;;6.9;XRF;;;360;XRF;;;21;XRF;;;152;XRF;;;15.3;XRF;;;;;;;;;;;;170;XRF;;;13.3;INAA;;;34.2;INAA;;;;;;;20.1;INAA;;;5.1;INAA;;;1.79;INAA;;;;0.82;INAA;;;;0.6;;;1.54;INAA;;;0.23;3.6;INAA;;;0.98;;;;;;;;;;;;;;;;;;;;;;0.6;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;[40] FREY F. A. (1991);samp. LP-5;1883;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES;LAUPAHOEHOE GULCH;20;-155.25;20;-155.25;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;FRESH;;WHOLE ROCK;;;;;;;;;;;;;;46.72;2.83;10.66;;;;14.4;;;;9.62;12.57;0.2;;;;;;0.71;XRF;;;2.2;XRF;2.09;INAA;0.34;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.8;INAA;;;;;;240;XRF;;;918;INAA;;;;;68;INAA;;;;;344;XRF;;;;;;;;;104;XRF;;;20;XRF;;;;;;12.8;XRF;;;452;XRF;;;25;XRF;;;216;XRF;;;23.5;XRF;;;;;;;;;;;;259;XRF;;;19.2;INAA;;;45;INAA;;;;;;;25.4;INAA;;;6.25;INAA;;;2.27;INAA;;;;0.97;INAA;;;;0.8;;;1.89;INAA;;;0.28;4.8;INAA;;;1.38;;;;;;;;;;;;;;;;;;;;;;0.9;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;[40] FREY F. A. (1991);samp. MU-9;3750;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES;MAULUA GULCH;20;-155.25;20;-155.25;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;MODERATELY ALTERED;;WHOLE ROCK;;;;;;;;;;;;;;45.93;2.04;9.62;;;;13.53;;;;10.8;15.93;0.19;;;;;;0.22;XRF;;;1.26;XRF;1.46;INAA;0.22;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.5;INAA;;;;;;243;XRF;;;1390;INAA;;;;;76;INAA;;;;;423;XRF;;;;;;;;;101;XRF;;;16;XRF;;;;;;1.2;XRF;;;312;XRF;;;20;XRF;;;140;XRF;;;14.1;XRF;;;;;;;;;;;;162;XRF;;;12.2;INAA;;;29;INAA;;;;;;;18.3;INAA;;;4.52;INAA;;;1.67;INAA;;;;0.76;INAA;;;;0.64;;;1.46;INAA;;;0.2;3.3;INAA;;;0.83;;;;;;;;;;;;;;;;;;;;;;0.4;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
