"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","ALTERATION","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","NB2O5(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","K(WT%)","LI(PPM)","BE(PPM)","AR40(CCMSTP/G)","AR40(MOL/G)","AR40(PPB)","SC(PPM)","V(PPM)","CR(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","AG(PPM)","SN(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM): altern. values or methods","","","","HF(PPM): altern. values or methods","","","","TA(PPM)","W(PPM)","W(PPB)","RE(PPB)","OS(PPB)","PB(PPM)","PB(PPB)","BI(PPM)","TH(PPM)","TH228_ACT(BQ/KG)","TH230_ACT(BQ/KG)","U(PPM): altern. values or methods","","","","ND143_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","OS187_OS188","RE187_OS188","HF176_HF177","LU176_HF177","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_PB204","U238_TH232_ACT","D18O(VS SMOW)","ENSTATITE(MOL%)","FAYALITE(MOL%)","FORSTERITE(MOL%)","FERROSILITE(MOL%)","KALSILITE(MOL%)","NEPHELINE(MOL%)","QUARTZ(MOL%)","ULVOSPINEL(MOL%)","WOLLASTONITE(MOL%)","AGE(KA)","AGE(MA): altern. values or methods","","","",
"1987"," [713] GERLACH D. C. (1987)","samp. UC-FN-24","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / QUIXABA FORMATION","","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3330","","","","",
"1987"," [713] GERLACH D. C. (1987)","samp. 33","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / QUIXABA FORMATION","","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.6","TIMS_ID","","","960","TIMS_ID","","","","","","","","","","","","","","58.8","TIMS_ID","","","11.1","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","2.9","","","","","","1.89","TIMS_ID","","","0.512897","","0.70378","","19.317","15.599","39.077","","","","","","","","","","","","","","","","","","","","","","","","",
"1987"," [713] GERLACH D. C. (1987)","samp. 31","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / QUIXABA FORMATION","","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.2","TIMS_ID","","","1038","TIMS_ID","","","","","","","","","","","","","","69.1","TIMS_ID","","","12.9","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","2.61","","","","","","2.05","TIMS_ID","","","0.512851","","0.70383","","19.354","15.623","39.23","","","","","","","","","","","","","","","","","","","","","","","","",
"1987"," [713] GERLACH D. C. (1987)","samp. 106","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / QUIXABA FORMATION","","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4","TIMS_ID","","","985","TIMS_ID","","","","","","","","","","","","","","66.1","TIMS_ID","","","12.4","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","2.64","","","","","","2.49","TIMS_ID","","","0.512851","","0.70386","","19.445","15.647","39.448","","","","","","","","","","","","","","","","","","","","","","","","",
"1987"," [713] GERLACH D. C. (1987)","samp. 74","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / QUIXABA FORMATION","","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.2","TIMS_ID","","","1118","TIMS_ID","","","","","","","","","","","","","","72","TIMS_ID","","","13.2","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","4.63","","","","","","2.34","TIMS_ID","","","0.512797","","0.70395","","19.47","15.648","39.493","","","","","","","","","","","","","","","","","","","","","","","","",
"1987"," [713] GERLACH D. C. (1987)","samp. 98","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / QUIXABA FORMATION","","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.6","TIMS_ID","","","1222","TIMS_ID","","","","","","","","","","","","","","8.52","TIMS_ID","","","15.5","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","2.83","","","","","","2.82","TIMS_ID","","","0.512817","","0.70387","","19.473","15.636","39.414","","","","","","","","","","","","","","","","","","","","","","","","",
"1973"," [744] BAZAROVA T. YU. (1973)","samp. M-51","","CAPE VERDE ISLANDS / MAIO","","15.15","-23.2","15.15","-23.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE, MELILITE","DENSE GROUNDMASS","","","","","","","","WHOLE ROCK","","","","","37.05","3.77","","7.4","","","","","4.36","","8.09","13.6","19.31","0.17","","","","","1.3","2.82","1.24","1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-31BB","19596","TRINDADE-VITORIA RISE / TRINDADE / VALADO FORMATION","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","WHOLE ROCK","","","","","41.25","4.2","","9.9","","","","","","13.22","","13.17","11.3","0.23","","","","","1.93","3.65","1.13","","","","","","","","","","1.55","","","","","","","27","","493","63","273","","","","","","47","XRF","","","1268","XRF","","","24","218","96","","","","0.68","888","84","164","","63","GAMMA","","","13.3","GAMMA","","","4.2","","1.36","","","","","1.9","0.22","GAMMA","","","6.6","GAMMA","","","4.7","","","","","","","","9.9","","","2.5","GAMMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-78","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","BIOTITE","","CORE","PRIMARY","35.89","8.97","","14.15","","","","","","9.26","","0.07","13.69","0.08","6.37","","","","6.85","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-78","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","BIOTITE","","RIM","PRIMARY","35.77","8.5","","14.13","","","","","","9.28","","0.03","13.77","0.1","5.9","","","","6.85","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-101","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","BIOTITE","","CORE","PRIMARY","39.32","6.32","","10.84","","","","","","6.58","","0.05","19.59","0.1","3.04","","","","8.81","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-78","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","SPINEL","","","PRIMARY","0.13","4.11","","25.01","25.47","","","","","32.65","","0.1","10.15","0.35","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-100","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","PRIMARY","43.11","0.13","","32.56","","","","1.86","","","","0.93","0.1","0.02","","","","","7.63","12.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
