Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);HFO2(WT%);THO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);V2O3(WT%);NB2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);FET(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);AS2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);OH(WT%);SO3(WT%);S(WT%);LOI(WT%);TI(WT%);CA(WT%);K(WT%);LI(PPM);BE(PPM);B(PPM);F(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);;;;AR40(CCMSTP/G);;;;AR40(MOL/G);;;;AR40(PPB);K(PPM);SC(PPM);;;;TI(PPM);V(PPM);;;;CR(PPM);;;;CO(PPM);;;;NI(PPM);;;;CU(PPM);;;;ZN(PPM);;;;GA(PPM);;;;GE(PPM);AS(PPM);AS(PPB);SE(PPM);RB(PPM);;;;;;SR(PPM);;;;;;Y(PPM);;;;ZR(PPM);;;;NB(PPM);;;;MO(PPM);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM): altern. values or methods;;;;TE(PPM);CS(PPM): altern. values or methods;;;;BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM): altern. values or methods;;;;TB(PPM): altern. values or methods;;;;DY(PPM): altern. values or methods;;;;HO(PPM);ER(PPM): altern. values or methods;;;;TM(PPM);YB(PPM): altern. values or methods;;;;LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;BI(PPM);PO210_ACT(DPM/G);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;U(PPM): altern. values or methods;;;;ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB204_INI;PB207_PB204: altern. values or methods;;;;PB207_PB204_INI;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB204_INI;PB208_PB206;HF176_HF177;LU176_HF177;AR38_AR36;AR40_AR36;AR40_AR36_INI;PB206_U238;PB207_U235;RA226_TH230_ACT;PA231_U235_ACT;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;U234_U238_ACT;U235_PB204;U238_PB204;U238_TH232_ACT;D7LI(VS LSVEC);D13C(VS PDB);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS VCDT);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);CHROMITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);HERCYNITE(MOL%);ILMENITE(MOL%);MAGNESIOFERRITE(MOL%);MONTICELLITE(MOL%);MAGNETITE(MOL%);ORTHOCLASE(MOL%);PICROCHROMITE(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA): altern. values or methods;;;;;;AGE_PB207_U235(MA);AGE_PB206_U238(MA);
1988;[46] SPENGLER S. (1988);samp. B(OL);;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;PORPHYRITIC;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;PRIMARY;;;;;34.6;;;;;;;;;;;;;;;;41.1;;0.32;20.9;2.41;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. B(MT);;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;PORPHYRITIC;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SPINEL;;;;PRIMARY;;;;;;21.5;;;;0.94;;;;;;;;;;;72.96;;;1.95;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. B(PLAG);;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;PORPHYRITIC;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);PLAGIOCLASE;;;;PRIMARY;;;;;60.4;;;;;25.1;;;;;;;;;;;0.38;;5.98;;;;;;;;0.8;EMP (EPMA);;;6.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. H-28-74;;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;PORPHYRITIC;;;;;;;;;FRESH;;MINERAL / COMPONENT (INCL. GROUNDMASS);APATITE;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;53.5;;;;0.39;;;;;;;;;41.1;;;;;;;4.2;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. H-84-62;;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;PORPHYRITIC;;;;;;;;;FRESH;;MINERAL / COMPONENT (INCL. GROUNDMASS);APATITE;;;;PRIMARY;;;;;0.08;;;;;;;;;;;;;;;;0.53;;53.27;0.43;0.13;;;;;;;;;;;40.8;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;790;EMP (EPMA);;;1990;EMP (EPMA);;;140;920;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. H-84-62;;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;PORPHYRITIC;;;;;;;;;FRESH;;WHOLE ROCK;;;;;;;;;;57.1;1.46;;;;17.8;;;;;;;;;;;6.84;;3.46;1.54;0.17;;;;;;3.07;XRF;;;6.02;0.89;;;;;;;;;;;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;4;INAA;;;;12.3;XRF;;;5.4;INAA;;;1.7;INAA;;;12;XRF;;;;;;;;;;;;;;;;;;;67.8;XRF;;;;;781.7;XRF;;;;;43.4;XRF;;;694.1;XRF;;;88.6;XRF;;;;;;;;;;;;;;;;;621.6;XRF;;;85.7;INAA;;;137.9;INAA;;;;84.5;INAA;;;;;16.1;INAA;;;3.8;INAA;;;;;;;2.45;INAA;;;;;;;;;;;;;3.3;INAA;;;0.46;14.2;5;;;;;;;;;;;;;;7.5;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;[53] CLAGUE D. A. (1987);samp. 43-67;;HAWAIIAN-EMPEROR CHAIN / KOKO / DREDGE 43D / POST-SHIELD STAGE;;34.78;171.83;34.78;171.83;-630;-830;DREDGE;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;52.7;0.91;;;;17.7;;;;;;;;;3.2;;6.3;;2.8;1.2;0.03;;;;;;3.5;NOT;;;5.4;1.3;;;1.5;1.3;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;[445] NATLAND J. H. (1980);samp. 6;;SAMOAN ISLANDS / TUTUILA / SHIELD STAGE;;-14.3;-170.7;-14.3;-170.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;59;1.2;;;;18.3;;;;;;;;;;7.6;;;3.4;1.3;0.2;;;;;;3.2;NOT;;;5.3;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;[547] BELLON H. (1981);samp. 30M;;SOCIETY ISLANDS / MOOREA;NORD-OUEST MASSIF;-17.5;-149.83;-17.5;-149.83;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.52;AAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.56E-07;MS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1430;K-AR;;;;;;;;;;;;;
1981;[547] BELLON H. (1981);samp. 42S;;SOCIETY ISLANDS / MOOREA;NORD-OUEST MASSIF;-17.5;-149.83;-17.5;-149.83;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.85;AAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.17E-07;MS_ID;3.97E-07;MS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1880;K-AR;;;;;;;;;;;;;
