Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ERUPTION YEAR,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,SPOT (MINERAL),CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,INCLUSION TYPE,MINERAL (INCLUSION),HOSTMINERAL (INCLUSION),HEATING,HEATING TEMPERATURE (?C),SIO2(WT%),TIO2(WT%),ZRO2(WT%),HFO2(WT%),THO2(WT%),UO2(WT%),AL2O3(WT%),CR2O3(WT%),LA2O3(WT%),CE2O3(WT%),ND2O3(WT%),SM2O3(WT%),GD2O3(WT%),DY2O3(WT%),ER2O3(WT%),YB2O3(WT%),Y2O3(WT%),V2O3(WT%),NB2O5(WT%),TA2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),PBO(WT%),NIO(WT%),ZNO(WT%),RB2O(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),CO2(WT%),F(WT%),CL(WT%),SO2(WT%),SO3(WT%),S(WT%),LOI(WT%),K(WT%): altern. values or methods,,,,LI(PPM): altern. values or methods,,,,BE(PPM),B(PPM),F(PPM): altern. values or methods,,,,MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),AR39(MOL/G),AR40(AT/G): altern. values or methods,,,,AR40(CCMSTP/G),AR40(MOL/G): altern. values or methods,,,,SC(PPM): altern. values or methods,,,,TI(PPM),V(PPM): altern. values or methods,,,,CR(PPM): altern. values or methods,,,,CO(PPM): altern. values or methods,,,,NI(PPM): altern. values or methods,,,,CU(PPM): altern. values or methods,,,,ZN(PPM): altern. values or methods,,,,GA(PPM): altern. values or methods,,,,GE(PPM),AS(PPM),SE(PPM),RB(PPM): altern. values or methods,,,,,,SR(PPM): altern. values or methods,,,,,,Y(PPM): altern. values or methods,,,,ZR(PPM): altern. values or methods,,,,NB(PPM): altern. values or methods,,,,MO(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),CS(PPM),BA(PPM): altern. values or methods,,,,LA(PPM): altern. values or methods,,,,CE(PPM): altern. values or methods,,,,PR(PPM),ND(PPM): altern. values or methods,,,,,,SM(PPM): altern. values or methods,,,,EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),TL(PPM),PB(PPM): altern. values or methods,,,,BI(PPM),TH(PPM): altern. values or methods,,,,U(PPM): altern. values or methods,,,,ND143_ND144,EPSILON_ND_INI,SM147_ND144,SR87_SR86,SR87_SR86_INI,RB87_SR86,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB207_PB206,PB208_PB204,PB208_PB204_INI,AR36_AR39,AR37_AR39,AR37_AR40,AR38_AR39,AR40_AR36,AR40_AR39,PB206_U238,PB207_U235,PB208_TH232,TH230_TH232_ACT,TH230_U238_ACT,TH232_PB204,TH232_U238,U234_U238_ACT,U235_PB204,U238_PB204,U238_PB206,U238_TH232_ACT,D14C(PER MIL),D18O(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),D26MG(PER MIL),D33S(VS VCDT): altern. values or methods,,,,,,,,,,,,,,,,,,,,D34S(VS VCDT): altern. values or methods,,,,,,,,,,,,,,,,,,,,D56FE(VS IRMM-014),DD(VS SMOW),ALBITE(MOL%),ANORTHITE(MOL%),ENSTATITE(MOL%),FAYALITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),ILMENITE(MOL%),LARNITE(MOL%),ORTHOCLASE(MOL%),TEPHROITE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(A),AGE(KA): altern. values or methods,,,,AGE(MA): altern. values or methods,,,,,,,,AGE_PB207_PB206(MA),AGE_PB207_U235(MA),AGE_PB206_U238(MA),AGE_PB208_TH232(MA)
1975, [473] BAKER P. E. (1975),samp. 15146,9846,ASCENSION / ASCENSION,LITTLE WHITE HILL,-7.93,-14.37,-7.93,-14.37,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,ORIGINALLY REPORTED AS COMENDITE,,,,,,,,WHOLE ROCK,,,,,,,,,,,70.61,0.14,,,,,13.22,,,,,,,,,,,,,,,0.95,,1.38,0.43,0.11,0.08,,,,,,,4.77,5.71,,,2.51,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974, [507] O^NIONS R. K. (1974),samp. HUS4,,AZORES / TERCEIRA,,38.72,-27.22,38.72,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,ORIGINALLY REPORTED AS COMENDITE,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. AT4,,AZORES / TERCEIRA / RAMINHO,"SEA CLIFF AT MIRADOR PONTA DO RAMINHO, CENTER OF FLOW 100 M THICK",38.79,-27.37,38.79,-27.37,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,ORIGINALLY REPORTED AS COMENDITE,,,,,,,,WHOLE ROCK,,,,,,,,,,,67.5,0.6,,,,,14,,,,,,,,,,,,,,,1.9,,2.9,0.7,0.4,0.22,,,,,,,4.5,6.5,0.05,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. AT1,,AZORES / TERCEIRA,"ROAD-CUT 2 KM NORTH OF THE CHURCH OF SERRATA, CENTER OF FLOW",38.77,-27.37,38.77,-27.37,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,ORIGINALLY REPORTED AS COMENDITE,,,,,,,,WHOLE ROCK,,,,,,,,,,,68.4,0.5,,,,,12.8,,,,,,,,,,,,,,,1.5,,3.6,0.8,0.2,0.22,,,,,,,4.8,6.8,0.06,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989, [651] DAVIES G. R. (1989),samp. T19,8798,AZORES / TERCEIRA / GUILHERME MONIZ / SYNCALDERA STAGE,,38.72,-27.22,38.72,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,ORIGINALLY REPORTED AS COMENDITE,,,,,,,,WHOLE ROCK,,,,,,,,,,,46.28,1.84,,,,,16.04,,,,,,,,,,,,,,,3.09,,6.62,9.48,8.75,0.16,,,,,,,1.11,2.62,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,NOT,,,,,,,131,NOT,,,,,,,,,,,,,,,,,,13,NOT,,,,,355,NOT,,,,,,,,,,,,,,,,,,,,,,,,,412,NOT,,,34.8,NOT,,,27.8,NOT,,,,37.4,NOT,,,,,8.3,NOT,,,2.6,,,5.9,,,,3.2,,4.1,,,,,,,,,2.3,NOT,,,,,,,,,,0.70344,,,19.61,,15.57,,,39.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995, [709] MUNGALL J. E. (1995),samp. 89-70,,AZORES / TERCEIRA / SANTA BARBARA,,38.72,-27.22,38.72,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,ORIGINALLY REPORTED AS COMENDITE,,,,,,,,WHOLE ROCK,,,,,,,,,,,68.19,0.4,,,,,13.52,,,,,,,,,,,,,,,2.94,,2.63,0.6,,0.22,,,,,,,4.49,6.47,0.03,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,XRF,,,54,XRF,,,,,,,39,XRF,,,,,,,,,,,35,XRF,,,,,,128,XRF,,,,,9,XRF,,,,,104,XRF,,,1350,XRF,,,201,XRF,,,,,,,,,,,274,XRF,,,,,,,268,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,NOT,,,9,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995, [709] MUNGALL J. E. (1995),samp. 89-74,7011,AZORES / TERCEIRA / SANTA BARBARA,PICO DO CARNHEIROS VENT,38.72,-27.22,38.72,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,ORIGINALLY REPORTED AS COMENDITE,,,,,,,,WHOLE ROCK,,,,,,,,,,,67.6,0.4,,,,,14.69,,,,,,,,,,,,,,,1.7,,3.29,0.68,0.11,0.22,,,,,,,4.53,6.55,0.03,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,XRF,,,0,XRF,,,,,,,0,XRF,,,,,,,,,,,34,XRF,,,,,,102,XRF,,,,,9,XRF,,,,,87,XRF,,,1044,XRF,,,171,XRF,,,,,,,,,,,577,XRF,,,,,,,213,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,NOT,,,9,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977, [750] IMSLAND P. (1977),samp. 20,,BOUVET / BOUVET,FALSE,-54.43,3.4,-54.43,3.4,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,MICROCRYSTALLINE GROUNDMASS,ORIGINALLY REPORTED AS COMENDITE,,,,,,,ALTERATION OF GROUNDMASS TO SMECTITE,WHOLE ROCK,,,,,,,,,,,68.64,0.26,,,,,13.42,,,,,,,,,,,,,,,1.94,,2.64,0.68,0.05,0.09,,,,,,,4.81,5.34,0.06,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AES,,,,,,,,,,,1,AES,,,40,AES,,,,,,,,,,99,XRF,,,,,34,XRF,,,,,101,XRF,,,1259,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977, [750] IMSLAND P. (1977),samp. 21,,BOUVET / BOUVET,FALSE,-54.43,3.4,-54.43,3.4,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,"MICROCRYSTALLINE GROUNDMASS, VESICULAR",ORIGINALLY REPORTED AS COMENDITE,,,,,,,ALTERATION OF GROUNDMASS TO SMECTITE,WHOLE ROCK,,,,,,,,,,,68.51,0.27,,,,,13.56,,,,,,,,,,,,,,,2.41,,2.1,0.76,0.02,0.1,,,,,,,4.8,5.48,0.02,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AES,,,,,,,,,,,,,,,48,AES,,,,,,,,,,103,XRF,,,,,30,XRF,,,,,108,XRF,,,1271,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977, [750] IMSLAND P. (1977),samp. 22,,BOUVET / BOUVET,FALSE,-54.43,3.4,-54.43,3.4,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,VESICULAR,PUMICE; ORIGINALLY REPORTED AS COMENDITE,,,,,,,ALTERATION OF GROUNDMASS TO SMECTITE,WHOLE ROCK,,,,,,,,,,,68.97,0.27,,,,,13.32,,,,,,,,,,,,,,,0.95,,3.24,0.82,0.05,0.1,,,,,,,4.7,5.84,0.03,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
