Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;SAMPLE COMMENT;GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);PRIMARY/SECONDARY;SIO2(WT%);TIO2(WT%);AL2O3(WT%);FE2O3T(WT%);FEOT(WT%);CAO(WT%);MGO(WT%);MNO(WT%);K2O(WT%);NA2O(WT%);P2O5(WT%);LOI(WT%);LI(PPM);SC(PPM);V(PPM);CR(PPM);CO(PPM);NI(PPM);CU(PPM);ZN(PPM);GA(PPM);RB(PPM);SR(PPM);Y(PPM);ZR(PPM);NB(PPM);BA(PPM);LA(PPM);CE(PPM);PR(PPM);ND(PPM);SM(PPM);EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);PB(PPM);TH(PPM);U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND_INI;SM147_ND144;PB207_PB206;PB206_U238;PB207_U235;D56FE(VS IRMM-014);AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;WHOLE ROCK;;;;49.77;1.08;16.07;10.88;;13.01;7.38;0.18;0.31;2.04;0.09;3.03;34.88;52.15;262.71;284;41.15;63.43;73.57;;16.75;8.95;242.5;20.31;76.51;3.59;86.35;6.67;12.31;1.65;7.49;2.07;0.83;2.46;0.54;3.54;0.76;2.23;0.41;2.74;0.34;2.33;0.39;2.03;1.39;0.16;0.512473;0.51233;-2.72;0.167;;;;;;;;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-2;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;WHOLE ROCK;;;;50.14;1.18;15.59;11.75;;12.24;7.21;0.19;0.36;2.13;0.1;3.03;27.72;48.9;265.23;231.2;39.94;55.52;76.51;;15.61;9.75;164.2;20.78;82.16;3.25;84.12;7.06;12.74;1.71;7.64;2.15;0.82;2.49;0.53;3.45;0.77;2.28;0.42;3.02;0.35;2.36;0.35;1.37;1.37;0.15;0.512498;0.512353;-2.27;0.17;;;;;;;;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-3;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;WHOLE ROCK;;;;50.1;1.13;14.65;11.77;;12.59;8.21;0.19;0.27;1.91;0.09;3.01;36.33;64.26;326.45;397.9;51.52;79.4;94.6;;18.24;9.07;220.3;22.55;84.95;4.01;91.9;7.07;12.8;1.77;7.85;2.31;0.85;2.62;0.58;3.86;0.83;2.56;0.45;3.16;0.38;2.19;0.48;1.64;1.56;0.21;0.512498;0.512345;-2.43;0.178;;;;;;;;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-4;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;WHOLE ROCK;;;;50.3;1.1;15.8;11.18;;12.11;7.56;0.18;0.44;2.14;0.09;2.99;25.44;46.55;240.35;241.3;37.91;58.35;73.19;;14.69;12.43;155.6;20.29;80.78;3.16;122.1;6.46;12.01;1.66;7.45;2.14;0.81;2.38;0.54;3.44;0.74;2.19;0.41;2.8;0.33;2.32;0.39;1;1.3;0.16;0.5125;0.512351;-2.31;0.173;;;;;;;;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-5;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;WHOLE ROCK;;;;50.29;1.08;15.67;11.24;;12.25;7.62;0.18;0.33;2.05;0.09;3.3;34.27;53.68;274.89;267.1;44.21;65.52;82.3;;16.58;8.66;221;25.16;80.94;3.41;98.7;7.34;13.93;1.95;8.57;2.55;0.93;2.87;0.64;4.22;0.9;2.64;0.49;3.25;0.42;2.18;0.38;1.65;1.31;0.17;;;;;;;;;;;;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-6;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;WHOLE ROCK;;;;50.27;1.02;15.75;11.32;;12.49;7.25;0.19;0.34;2.17;0.09;3.12;27.33;43.25;210.63;217.5;39.26;66.74;113.52;;14.93;3.37;180.4;22.96;90.51;3.22;85.57;7.03;12.86;1.84;8.19;2.45;0.89;2.75;0.61;3.98;0.85;2.51;0.44;3.07;0.37;2.66;0.28;1.28;1.03;0.14;;;;;;;;;;;;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-7;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;WHOLE ROCK;;;;50.66;1.16;12.4;12.68;;12.36;9.39;0.21;0.15;1.67;0.09;3.32;41.66;61.69;319.94;290.6;50.33;70.52;87.91;;19.68;6.03;230.8;22.06;90.14;3.69;101.9;6.77;12.77;1.76;7.74;2.24;0.89;2.61;0.58;3.76;0.81;2.36;0.44;2.97;0.36;2.53;0.4;13.37;1.35;0.18;;;;;;;;;;;;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-8;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;WHOLE ROCK;;;;49.99;1.1;15.7;11.42;;12.57;7.47;0.19;0.32;2.15;0.08;3.16;43.12;82.34;400.26;265.4;67.92;67.39;252.21;;18.92;2.17;182.2;22.5;78.95;4.08;58.28;6.25;11.8;1.63;7.46;2.28;0.8;2.6;0.59;3.89;0.84;2.46;0.45;3.05;0.36;2.42;0.36;1.94;1.64;0.21;;;;;;;;;;;;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-9;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;WHOLE ROCK;;;;50.1;1.08;15.78;10.99;;12.92;7.55;0.18;0.28;1.99;0.08;3.39;38.61;56.32;292.22;322.7;45.85;71.22;88;;18.39;5.48;259.8;24.81;75.81;3.8;87.77;7.47;14.09;2;8.95;2.61;0.98;2.98;0.67;4.37;0.94;2.73;0.48;3.14;0.38;2.34;0.41;1.98;1.4;0.2;;;;;;;;;;;;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-1;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06842;0.1;0.94089;;881;673;613;
