Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;TYPE OF MATERIAL;MINERAL / COMPONENT;CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);THO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);GD2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O5(WT%);PR2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%);NA(WT%);P(WT%);LI(PPM);BE(PPM);B(PPM);F(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);AR40(CCMSTP/G);AR40(MOL/G);K(PPM);SC(PPM);TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM);ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM): altern. values or methods;;;;ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);W(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB(PPB);BI(PPM);PO210_ACT(DPM/G);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;RB87_SR86;PB206_PB204;PB207_PB204;PB207_PB206;PB208_PB204;PB208_PB206;HF176_HF177;LU176_HF177;AR38_AR36;AR40_AR36;PO210_RA226_ACT_INI;TH230_TH232_ACT;TH230_U238_ACT;U238_TH232_ACT;D11B(VS NBS951);D18O(VS VSMOW);D34S(VS CDT);D44_40CA(VS SRM915A);D44_42CA(VS SRM915A);CHROMITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HERCYNITE(MOL%);JACOBSITE(MOL%);KALSILITE(MOL%);(AL)KALIFELDSPAR(MOL%);LARNITE(MOL%);MG-CHROMITE(MOL%);MAGNESIOFERRITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);QUARTZ(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;;;
1988;[815] DUPUY C. (1988);samp. TBA-0357287;;AUSTRAL-COOK ISLANDS / TUBUAI;;-23.38;-149.45;-23.38;-149.45;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;PHONOLITIC;8000000;11000000;MIOCENE;;;;WHOLE ROCK;;;;;;;;;41.54;2.83;;;12.25;;;;;;;;;;;;15.3;;;;9.23;8.19;0.26;;;;1.51;AAS;;;6.1;1.05;;;;;;;;;;0.78;;;;;;;;;;21;;;;;;;;;;;16;;169;AAS;;;168;AAS;;;;47;AAS;;;112;AAS;;;70;183;AAS;;;;;;;;;62;AAS;;;1460;AAS;;;46;XRF;;;504;XRF;;;189;XRF;;;;;;;;;;884;XRF;;;137.7;INAA;;;263.4;INAA;;;;;;;100.5;INAA;;;15.48;INAA;;;4.82;;1.85;;;;;2.88;0.45;9.1;;;;;;;;;;;;;22.5;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[815] DUPUY C. (1988);samp. TBA-1077294;;AUSTRAL-COOK ISLANDS / TUBUAI;;-23.38;-149.45;-23.38;-149.45;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;PHONOLITIC;8000000;11000000;MIOCENE;;;;WHOLE ROCK;;;;;;;;;41.35;2.88;;;12.54;;;;;;;;;;;;15.7;;;;9.43;7.65;0.27;;;;1.62;AAS;;;6.22;0.94;;;;;;;;;;0.93;;;;;;;;;;21;;;;;;;;;;;16;;165;AAS;;;136;AAS;;;;47;AAS;;;98;AAS;;;75;178;AAS;;;;;;;;;59;AAS;;;1525;AAS;;;45;XRF;;;515;XRF;;;189;XRF;;;;;;;;;;905;XRF;;;144.6;INAA;;;275.1;INAA;;;;;;;103.9;INAA;;;16.09;INAA;;;5.04;;1.96;;;;;3.11;0.47;9.7;;;;;;;;;;;;;23.3;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;[6327] SHANE P. A. (2000);samp. 742;;NEW ZEALAND / NORTH ISLAND / AUCKLAND VOLCANIC FIELD / LIVERPOOL ST.;TUFF-RING;-36.9;174.87;-36.9;174.87;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;POORLY-SORTED ASH, SURGE, EARLY;;;QUATERNARY;;;;VOLCANIC GLASS;;;;;;;;;43.2;3.02;;;14.85;;;;;;;;;;;;;;12.59;;11.63;3.87;0.19;;;;2.73;EMP (EPMA);;;6.43;1.39;;;;;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;[6327] SHANE P. A. (2000);samp. 762;;NEW ZEALAND / NORTH ISLAND / AUCKLAND VOLCANIC FIELD / ORAKEI;TUFF RING;-36.85;174.8167;-36.85;174.8167;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;POORLY-SORTED ASH, SURGE;;;QUATERNARY;;;;VOLCANIC GLASS;;;;;;;;;43.46;3.42;;;14.64;;;;;;;;;;;;;;13.06;;11.63;4.02;0.16;;;;2.56;EMP (EPMA);;;5.8;1.16;;;;;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;[6327] SHANE P. A. (2000);samp. 768;;NEW ZEALAND / NORTH ISLAND / AUCKLAND VOLCANIC FIELD / MOUNT WELLINGTON (MAUNGAREI);;-36.9;174.87;-36.9;174.87;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;POORLY-SORTED ASH, LAPILLI, SURGE, BASAL;;;QUATERNARY;;;;VOLCANIC GLASS;;;;;;;;;42.37;2.75;;;14.18;;;;;;;;;;;;;;12.2;;12.23;4.2;0.24;;;;2.91;EMP (EPMA);;;7.27;1.56;;;;;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;[6327] SHANE P. A. (2000);samp. 763;;NEW ZEALAND / NORTH ISLAND / AUCKLAND VOLCANIC FIELD / MOUNT WELLINGTON (MAUNGAREI);;-36.9;174.87;-36.9;174.87;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;POORLY-SORTED ASH, LAPILLI, SURGE, BASAL;;;QUATERNARY;;;;VOLCANIC GLASS;;;;;;;;;42.11;2.85;;;14.28;;;;;;;;;;;;;;12.22;;12.2;4.2;0.25;;;;2.87;EMP (EPMA);;;7.33;1.59;;;;;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;[6327] SHANE P. A. (2000);samp. 779;;NEW ZEALAND / NORTH ISLAND / AUCKLAND VOLCANIC FIELD / THREE KINGS;TUFF-RING;-36.8;174.87;-36.8;174.87;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;POORLY-SORTED ASH, LAPILLI, SURGE;;;QUATERNARY;;;;VOLCANIC GLASS;;;;;;;;;43.46;2.93;;;14.83;;;;;;;;;;;;;;12.26;;11.45;4;0.21;;;;2.76;EMP (EPMA);;;6.22;1.44;;;;;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;[6327] SHANE P. A. (2000);samp. 783;;NEW ZEALAND / NORTH ISLAND / AUCKLAND VOLCANIC FIELD / THREE KINGS;TUFF-RING;-36.8;174.87;-36.8;174.87;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;POORLY-SORTED ASH, LAPILLI, SURGE;;;QUATERNARY;;;;VOLCANIC GLASS;;;;;;;;;42.55;3.13;;;14.47;;;;;;;;;;;;;;12.39;;11.9;4.41;0.25;;;;2.57;EMP (EPMA);;;6.57;1.32;;;;;;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;[6327] SHANE P. A. (2000);samp. 781;;NEW ZEALAND / NORTH ISLAND / AUCKLAND VOLCANIC FIELD / ROBERTSON HILL;;-36.8;174.87;-36.8;174.87;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;POORLY-SORTED ASH, LAPILLI, SURGE;;;QUATERNARY;;;;VOLCANIC GLASS;;;;;;;;;45.21;2.76;;;16.4;;;;;;;;;;;;;;11.55;;9.47;3.48;0.23;;;;2.8;EMP (EPMA);;;6.46;1.29;;;;;;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCR-37;132477;CANARY ISLANDS / GRAN CANARIA / POST-ROQUE NUBLO FORMATION / SHIELD STAGE;PIQUILLO RAVINE, 50 M E OF LOCAL ROAD CI-13-8;28.0409;-15.5036;28.0409;-15.5036;455;455;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;K-AR;;;;;
