Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);V2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);NIO(WT%);K2O(WT%);;;;;;;;NA2O(WT%);P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);LOI(WT%);K(WT%);;;;HE(CCMSTP/G);BE(PPM);F(PPM);;;;NE22(CCMSTP/G);S(PPM);CL(PPM);AR36(CCMSTP/G);AR40(MOL/G): altern. values or methods;;;;SC(PPM): altern. values or methods;;;;V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM);GE(PPM);AS(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM);MO(PPM);CD(PPM);SN(PPM);SB(PPM);TE(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM);PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPT): altern. values or methods;;;;AU(PPB);TL(PPM);PB(PPM);BI(PPM);TH(PPM);U(PPM);ND143_ND144;SM147_ND144;SR87_SR86;RB87_SR86;PB206_PB204;PB207_PB204;PB208_PB204;PB208_PB206;HE3_HE4(R/R(A));AR38_AR36;AR40_AR36;KR78_KR84;KR80_KR84;KR82_KR84;KR83_KR84;KR86_KR84;XE124_XE132;XE126_XE132;XE128_XE132;XE129_XE132;XE130_XE132;XE131_XE132;XE134_XE132;XE136_XE132;TH230_TH232_ACT;U238_TH232_ACT;D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS CDT);DD(VS VSMOW);ALBITE(MOL%);ANORTHITE(MOL%);FORSTERITE(MOL%);MAGNETITE(MOL%);ORTHOCLASE(MOL%);ULVOSPINEL(MOL%);AGE(KA);AGE(MA);
1974;[507] O^NIONS R. K. (1974);samp. SNS14;9979;ICELAND / ICELAND / SNAEFELLSJÖKULL;SNAEFELLSNES PENINSULA, HAAHRAUN, SOUTHERN SLOPE OF VOLCANO;64.742;-23.743;64.742;-23.743;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;XRF;;;355;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.70335;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;[507] O^NIONS R. K. (1974);samp. SNS717;;ICELAND / ICELAND;SNAEFELLSNES PENINSULA;64.8;-23.5;64.8;-23.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;XRF;;;470;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.70332;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;[592] SHIMIZU H. (1981);samp. E-51;7186;GALAPAGOS ISLANDS / RABIDA (JERVIS);;-0.4;-90.67;-0.4;-90.67;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE, PIGEONITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.1;MS_ID;;;88.5;;54.9;MS_ID;;;13.7;MS_ID;;;4.08;14.94;;13.73;;6.96;;5.63;0.776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;[592] SHIMIZU H. (1981);samp. E-70;7099;GALAPAGOS ISLANDS / PINZON (DUNCAN);;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.1;MS_ID;;;88.5;;54.5;MS_ID;;;14.24;MS_ID;;;3.99;15.07;;13.8;;7.25;;6.46;0.906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;[592] SHIMIZU H. (1981);samp. E-71;;GALAPAGOS ISLANDS / PINZON (DUNCAN);;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.8;MS_ID;;;97.6;;59.8;MS_ID;;;14.77;MS_ID;;;4.2;15.96;;15.49;;8.08;;6.83;0.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;[592] SHIMIZU H. (1981);samp. E-49;;GALAPAGOS ISLANDS / RABIDA (JERVIS);;-0.4;-90.67;-0.4;-90.67;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.9;MS_ID;;;85.9;;47.6;MS_ID;;;11.45;MS_ID;;;3.28;11.07;;10.6;;5.65;;5.15;0.792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;[592] SHIMIZU H. (1981);samp. E-50;10507;GALAPAGOS ISLANDS / RABIDA (JERVIS);;-0.4;-90.67;-0.4;-90.67;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;PORPHYRITIC;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.1;MS_ID;;;91.1;;52.2;MS_ID;;;12.27;MS_ID;;;3.33;12.42;;11.7;;6.31;;5.65;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[604] RIGHTER K. (1998);samp. DG39;6832;GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO;;-0.41;-91.03;-0.41;-91.03;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;610;TIMS_N_ID;615;TIMS_N_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;[615] BAITIS H. W. (1980);samp. DH-17B;;GALAPAGOS ISLANDS / PINZON (DUNCAN);NORTHERN CALDERA;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;53.48;2.13;15.24;;;;3.81;;6.94;8.14;4.11;0.17;;;1.01;XRF;;;;;;;3.44;0.31;;;;;;0.58;;;;;;;;;;;;;;;;;;;27.7;INAA;;;;;;;88;INAA;;;;29.5;INAA;;;36;XRF;;;;;;;;;;;;;;18;XRF;;;261;XRF;;;;;;;323;XRF;;;;;;;;;;150;INAA;;;25.7;INAA;;;62;;;;;;9.6;INAA;;;2.77;;1.63;;;;;4.5;0.72;8.4;1.73;;;;;;;;;;3.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;[615] BAITIS H. W. (1980);samp. DH-8G;;GALAPAGOS ISLANDS / PINZON (DUNCAN) / MAIN SHIELD / R2 FLOW;MAIN SHIELD;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;AA;;;;;;;;WHOLE ROCK;;;;;;51.02;2.86;13.9;;;;8.17;;5.03;7.97;4.34;0.22;;;1.13;XRF;;;;;;;3.7;0.58;;;;;;1.07;;;;;;;;;;;;;;;;;;;28.2;INAA;;;;;;;15;INAA;;;;33;INAA;;;13;XRF;;;;;;;;;;;;;;21;XRF;;;296;XRF;;;;;;;344;XRF;;;;;;;;;;160;INAA;;;25.9;INAA;;;61;;;;;;10.1;INAA;;;3.19;;1.77;;;;;4.8;0.77;8.1;2.13;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
