Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ERUPTION YEAR,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,SPOT (MINERAL),CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,INCLUSION TYPE,SPOT (INCLUSION),MINERAL (INCLUSION),RIM / CORE (INCLUSION),HOSTMINERAL (INCLUSION),HEATING,HEATING TEMPERATURE (?C),INCLUSION SIZE,SIO2(WT%),TIO2(WT%),ZRO2(WT%),AL2O3(WT%),CR2O3(WT%),V2O3(WT%),NB2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),COO(WT%),CUO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),CO2(WT%),CACO3(WT%),C(WT%),F(WT%),CL(WT%),OH(WT%),SO2(WT%),SO3(WT%),S(WT%): altern. values or methods,,,,LOI(WT%),TI(WT%),FE(WT%),MN(WT%),CA(WT%),K(WT%),NA(WT%),CO(WT%),CU(WT%),NI(WT%),ZN(WT%),HE(MOL/G),HE4(CCMSTP/G),LI(PPM),BE(PPM),B(PPM),F(PPM),NE(MOL/G),P(PPM),S(PPM),CL(PPM),AR(MOL/G),AR40(AT/G),AR40(CCMSTP/G),AR40(MOL/G),AR40(PPB),K(PPM),SC(PPM): altern. values or methods,,,,TI(PPM),V(PPM): altern. values or methods,,,,CR(PPM): altern. values or methods,,,,CR52(PPM),CR53(PPM),MN(PPM),CO(PPM): altern. values or methods,,,,NI(PPM): altern. values or methods,,,,NI60(PPM),NI62(PPM),CU(PPM): altern. values or methods,,,,CU63(PPM),CU65(PPM),ZN(PPM): altern. values or methods,,,,ZN66(PPM),ZN67(PPM),GA(PPM): altern. values or methods,,,,GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM): altern. values or methods,,,,,,SR(PPM): altern. values or methods,,,,,,Y(PPM): altern. values or methods,,,,ZR(PPM): altern. values or methods,,,,NB(PPM): altern. values or methods,,,,MO(PPM),RU(PPB),RU(PPT),RH(PPB),RH(PPT),PD(PPB),PD(PPT),AG(PPM),AG(PPB),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),CS(PPM),BA(PPM): altern. values or methods,,,,LA(PPM): altern. values or methods,,,,CE(PPM): altern. values or methods,,,,PR(PPM),ND(PPM): altern. values or methods,,,,,,SM(PPM): altern. values or methods,,,,EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),RE(PPB),RE(PPT),OS(PPB),IR(PPB),IR(PPT),PT(PPB),PT(PPT),AU(PPM),AU(PPB),HG(PPM),HG(PPB),TL(PPM),PB(PPM): altern. values or methods,,,,PB206(PPM),BI(PPM),TH(PPM): altern. values or methods,,,,TH232(PPM),U(PPM): altern. values or methods,,,,U238(PPM),CO2(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND_INI,SM147_ND144,SR87_SR86,SR87_SR86_INI,EPSILON_SR_INI,RB87_SR86,PB206_PB204,PB207_PB204,PB207_PB206,PB208_PB204,PB208_PB206,OS187_OS188,RE187_OS188,HF176_HF177,LU176_HF177,YB176_HF177,HE3_HE4(R/R(A)),HE4_NE20,AR36_AR39,AR37_AR39,AR38_AR39,AR40_AR36,AR40_AR39,PB206_U238,PB207_U235,PB208_TH232,RA226_U238,TH230_TH232_ACT,TH230_U238_ACT,TH232_PB204,TH232_U238,U234_U238_ACT,U235_PB204,U238_PB204,U238_PB206,U238_TH232_ACT,D11B(PER MIL),D11B(VS NBS951),D18O(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),DD(VS SMOW),ALBITE(MOL%),AEGIRINE(MOL%),ANORTHITE(MOL%),CELSIAN(MOL%),DIOPSIDE(MOL%),ENSTATITE(MOL%),FAYALITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),HEDENBERGITE(MOL%),JADEITE(MOL%),LARNITE(MOL%),ORTHOCLASE(MOL%),TEPHROITE(MOL%),TSCHERMAKITE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(KA),AGE(MA): altern. values or methods,,,,,,,,AGE_PB207_PB206(MA),AGE_PB207_U235(MA),AGE_PB206_U238(MA)
1976, [715] GUNN B. M. (1976),samp. VA0261,,CAPE VERDE ISLANDS / SAO ANTAO,,17.15,-25.02,17.15,-25.02,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"LATITE, NEPHELINE",COLUMNAR,FLOW,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,47.59,2.32,,20.38,,,,7.57,,,,6.03,3.07,0.19,,,,,,,3.03,9.22,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,XRF,,,,,,35.4,XRF,,,24.1,XRF,,,,,25.7,XRF,,,,,,,,,,,24.9,XRF,,,,,,,90.9,XRF,,,,,2638.8,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.8,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,XRF,,,,,18.2,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976, [715] GUNN B. M. (1976),samp. VA0081,,CAPE VERDE ISLANDS / SAO ANTAO,DEEP ROAD CUT,17.17,-25.08,17.17,-25.08,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"LATITE, NEPHELINE",,,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,50.32,2.65,,19.04,,,,8.13,,,,6.69,2.51,0.2,,,,,,,3.21,6.76,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,XRF,,,,,,41,XRF,,,28.8,XRF,,,,,24.3,XRF,,,,,,,,,,,24.2,XRF,,,,,,,76.3,XRF,,,,,1683.6,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.8,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,XRF,,,,,13.5,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976, [715] GUNN B. M. (1976),samp. VT0343,,CAPE VERDE ISLANDS / SANTIAGO,SW OF AIRPORT,14.92,-23.53,14.92,-23.53,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"LATITE, NEPHELINE",,,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,55.33,0.31,,23.64,,,,3.23,,,,2.06,1.24,0.18,,,,,,,6.02,7.98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,XRF,,,,,,23.7,XRF,,,6.7,XRF,,,,,3.8,XRF,,,,,,,,,,,26.7,XRF,,,,,,,141.5,XRF,,,,,1132.2,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.7,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,XRF,,,,,23.9,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976, [715] GUNN B. M. (1976),samp. VS0103,,CAPE VERDE ISLANDS / SAL,,16.73,-22.98,16.73,-22.98,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"LATITE, NEPHELINE",,,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,52.58,1.68,,19.35,,,,8.01,,,,4.82,1.78,0.17,,,,,,,3.84,7.4,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,XRF,,,,,,27.2,XRF,,,8.3,XRF,,,,,7.1,XRF,,,,,,,,,,,24.7,XRF,,,,,,,92.3,XRF,,,,,1145.9,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.7,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,XRF,,,,,5.6,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976, [715] GUNN B. M. (1976),samp. FN0143,,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / REMEDIOS FORMATION,,-3.85,-32.42,-3.85,-32.42,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"LATITE, NEPHELINE",,,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,52.44,1.43,,18.81,,,,6.56,,,,5.59,3.48,0.16,,,,,,,4.87,6.37,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,XRF,,,,,,,,,,67.1,XRF,,,,,24.5,XRF,,,,,,,,,,,,,,,,,,,139.4,XRF,,,,,1071,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.1,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,XRF,,,,,17.8,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975, [1158] FERREIRA M. P. (1975),samp. PS-18A,,MADEIRA ARCHIPELAGO / PORTO SANTO,,33.07,-16.33,33.07,-16.33,350,350,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,MASSIVE,ANDESITIC,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000009168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,DNAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,U-HE,,,,,,,,,
1968, [1346] TAYLOR H. P. JR. (1968),samp. 3COL-11-4,,NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD,"ALBOROTO, SAN JUAN MOUNTAINS, 2.9 MILES N OF SPRING CREEK PASS",37,-106,37,-106,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"LATITE, QUARTZ",,,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1675] BRISTOW J. W. (1984),samp. KLS69,32879,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / TAFELBERG FORMATION,,-20.17,14.15,-20.17,14.15,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,NOT,,,,,215,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71866,,,1.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1675] BRISTOW J. W. (1984),samp. KLS71,32916,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / TAFELBERG FORMATION,,-20.17,14.15,-20.17,14.15,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,NOT,,,,,201,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71893,,,2.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1675] BRISTOW J. W. (1984),samp. KL13,33312,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / TAFELBERG FORMATION,,-20.17,14.15,-20.17,14.15,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"LATITE, QUARTZ",,,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,NOT,,,,,87.9,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73422,,,7.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
