"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","INCLUSION TYPE","SPOT (INCLUSION)","MINERAL (INCLUSION)","HOSTMINERAL (INCLUSION)","HEATING","HEATING TEMPERATURE (?C)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","ZNO(WT%)","COO(WT%)","K2O(WT%)","NA2O(WT%)","LI2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","CO2(PPB)","C(WT%)","F(WT%)","CL(WT%)","S(WT%)","LOI(WT%)","HE4(CCMSTP/G)","LI(PPM)","N(PPM)","N(PPB)","F(PPM)","MG(PPM)","AL(PPM)","SI(PPM)","P(PPM)","S(PPM)","CL(PPM)","AR36(CCMSTP/G)","AR40(CCMSTP/G)","K(PPM)","CA(PPM): altern. values or methods","","","","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM): altern. values or methods","","","","CO(PPM)","NI(PPM): altern. values or methods","","","","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPB)","RH(PPB)","PD(PPB)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM): altern. values or methods","","","","HF(PPM): altern. values or methods","","","","TA(PPM)","W(PPM)","RE(PPB)","OS(PPB)","IR(PPB)","PT(PPB)","AU(PPB)","TL(PPM)","PB(PPM)","TH(PPM)","U(PPM): altern. values or methods","","","","CO2(PPM)","ND143_ND144: altern. values or methods","","","","SM147_ND144: altern. values or methods","","","","SR87_SR86","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","OS187_OS188","RE187_OS188","HF176_HF177","LU176_HF177","HE3_HE4(R/R(A))","AR40_AR36","TH232_PB204","U238_PB204","D15N(PER MIL)","D18O(PER MIL)","D34S(VS VCDT)","ALBITE(MOL%)","ANORTHITE(MOL%)","ENSTATITE(MOL%)","FORSTERITE(MOL%)","FERROSILITE(MOL%)","ORTHOCLASE(MOL%)","WOLLASTONITE(MOL%)",
"1995"," [1825] HORAN M. F. (1995)","samp. GU5/3","34378","SIBERIAN TRAPS / PUTORANA REGION / GULI VOLCANO-PLUTONIC COMPLEX","","70.95","101.433","70.95","101.433","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","TRIASSIC","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","26.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.73","TIMS_ID","","","13.7","TIMS_ID","","","","","","","","","","","","","","","","","","","","","0.394","1.625","","","","","","","","","","","","0.512722","TIMS","","","0.1039","TIMS","","","","","","","","0.1287","1.17","","","","","","","","","","","","","","","","",
"1995"," [1825] HORAN M. F. (1995)","samp. M-3-L","","SIBERIAN TRAPS / PUTORANA REGION / GULI VOLCANO-PLUTONIC COMPLEX","","70.95","101.433","70.95","101.433","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","31.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.37","TIMS_ID","","","6.961","TIMS_ID","","","","","","","","","","","","","","","","","","","","","0.146","16.39","","","","","","","","","","","","0.512743","TIMS","","","0.1069","TIMS","","","","","","","","0.124","0.0429","","","","","","","","","","","","","","","","",
"1995"," [1825] HORAN M. F. (1995)","samp. 599PL","","SIBERIAN TRAPS / PUTORANA REGION / GULI VOLCANO-PLUTONIC COMPLEX","","70.95","101.433","70.95","101.433","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","24.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.31","TIMS_ID","","","9.521","TIMS_ID","","","","","","","","","","","","","","","","","","","","","0.092","0.8489","","","","","","","","","","","","0.512689","TIMS","","","0.1122","TIMS","","","","","","","","0.1242","0.5187","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 2FG-45","97743","MAIMECHA-KOTUI PROVINCE / MAIMECHA RIVER BASIN / MAIMECHA FORMATION","","72","101","72","101","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","40.65","3.82","3.7","","","","","14.75","","9.74","25.24","0.2","","","","","","1.01","0.34","","0.54","","","","","","","","","","6.78","","","","","","","","","","","","","","","","","","","24","","140","1800","","","","","","101","1000","NOT","","","126","108","","","","30","NOT","","","580","NOT","","","16","305","","","","","","","350","60","120","","58.4","NOT","","","10.8","NOT","","","2.89","7.59","0.931","","","","","1.17","0.143","NOT","","","6.62","NOT","","","4.5","","","","","","","","","5.4","1.2","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 2FG-41","97744","MAIMECHA-KOTUI PROVINCE / MAIMECHA RIVER BASIN / MAIMECHA FORMATION","","72","101","72","101","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","41.84","3.84","3.12","","","","","13.61","","6.81","30.47","0.2","","","","","","0.5","0.17","","0.4","","","","","","","","","","7.95","","","","","","","","","","","","","","","","","","","18","","150","1500","","","","","","105","1450","NOT","","","82","99","","","","21","NOT","","","370","NOT","","","10","9.2","","","","","","","192","42.1","83.9","","40.3","NOT","","","7.6","NOT","","","2.03","5.22","0.608","","","","","0.81","0.111","NOT","","","4.8","NOT","","","3.15","","","","","","","","","3.53","0.489","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 2FG-19","","MAIMECHA-KOTUI PROVINCE / MAIMECHA RIVER BASIN / MAIMECHA FORMATION","","72","101","72","101","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","40.77","3.44","3.82","","","","","14.64","","7.72","28.29","0.22","","","","","","0.42","0.21","","0.46","","","","","","","","","","8.3","","","","","","","","","","","","","","","","","","","21","","180","1550","","","","","","109","1150","NOT","","","100","81","","","","20","NOT","","","530","NOT","","","12","295","","","","","","","250","55","117","","57","NOT","","","10.2","NOT","","","2.61","7.13","0.805","","","","","0.916","0.116","NOT","","","6.45","NOT","","","4.19","","","","","","","","","4.97","1.16","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 2FG-20","","MAIMECHA-KOTUI PROVINCE / MAIMECHA RIVER BASIN / MAIMECHA FORMATION","","72","101","72","101","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","41.12","2.15","2.44","","","","","13.16","","4.8","35.51","0.2","","","","","","0.15","0.16","","0.3","","","","","","","","","","7.63","","","","","","","","","","","","","","","","","","","15","","130","1800","","","","","","124","1450","NOT","","","72","86","","","","15","NOT","","","300","NOT","","","15","182","","","","","","","99","34.6","73.8","","37","NOT","","","6.68","NOT","","","1.63","4.31","0.492","","","","","0.623","0.077","NOT","","","4.15","NOT","","","2.71","","","","","","","","","3.12","0.948","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 2FG-21","","MAIMECHA-KOTUI PROVINCE / MAIMECHA RIVER BASIN / MAIMECHA FORMATION","","72","101","72","101","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","40.77","3.48","3.61","","","","","15","","6.86","28.94","0.21","","","","","","0.46","0.18","","0.48","","","","","","","","","","9.33","","","","","","","","","","","","","","","","","","","21","","210","1650","","","","","","110","1200","NOT","","","110","100","","","","13","NOT","","","570","NOT","","","15","285","","","","","","","300","55.3","117","","56.5","NOT","","","10.44","NOT","","","2.6","6.99","0.804","","","","","0.965","0.122","NOT","","","6.56","NOT","","","4.18","","","","","","","","","4.87","1.16","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. G3-233.4","73442","MAIMECHA-KOTUI PROVINCE / MAIMECHA RIVER BASIN / MAIMECHA FORMATION","","72","101","72","101","DRILL HOLE ","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","40.73","2.24","2.53","","","","","13.09","","5.22","35.02","0.19","","","","","","0.5","0.16","","0.31","","","","","","","","","","5.64","","","","","","","","","","","","","","","","","","","15","","150","2500","","","","","","120","1550","NOT","","","78","98","","","","11","NOT","","","295","NOT","","","11","178","","","","","","","198","31.3","64.6","","33.9","NOT","","","6.51","NOT","","","1.66","4.7","0.56","","","","","0.746","0.093","NOT","","","3.98","NOT","","","2.41","","","","","","","","","2.94","0.689","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. G3-100","73443","MAIMECHA-KOTUI PROVINCE / MAIMECHA RIVER BASIN / MAIMECHA FORMATION","","72","101","72","101","DRILL HOLE ","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","40.38","4.89","5.27","","","","","16.07","","14.45","15.83","0.22","","","","","","1.87","0.34","","0.67","","","","","","","","","","3.45","","","","","","","","","","","","","","","","","","","30","","360","940","","","","","","90","430","NOT","","","124","116","","","","55","NOT","","","850","NOT","","","26","395","","","","","","","510","75","148","","70.9","NOT","","","13.7","NOT","","","3.76","9.57","1.17","","","","","1.49","0.182","NOT","","","8.52","NOT","","","5.75","","","","","","","","","6.02","1.52","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 2FG-12","","MAIMECHA-KOTUI PROVINCE / MAIMECHA RIVER BASIN / MAIMECHA FORMATION","","72","101","72","101","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","41.04","2.3","2.47","","","","","12.98","","2.91","37.58","0.18","","","","","","0.07","0.17","","0.3","","","","","","","","","","9.44","","","","","","","","","","","","","","","","","","","14","","110","2300","","","","","","117","1450","NOT","","","68","84","","","","0","NOT","","","164","NOT","","","13","170","","","","","","","61","25.6","56","","30.7","NOT","","","6.1","NOT","","","1.56","4","0.454","","","","","0.601","0.082","NOT","","","3.85","NOT","","","2.05","","","","","","","","","1.92","0.34","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 1FG-11C","","SIBERIAN TRAPS / NORILSK REGION","MAIMECHA RIVER BASIN, DIKES","69","86","70","94","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","41.13","3.6","3.97","","","","","14.75","","9.93","24.32","0.21","","","","","","1.05","0.59","","0.45","","","","","","","","","","3.3","","","","","","","","","","","","","","","","","","","25","","282","1652","","","","","","103","1029","NOT","","","151","105","","","","26","NOT","","","695","NOT","","","18","282","","","","","","","393","69.7","139.3","","59.4","NOT","","","9.75","NOT","","","2.67","6.95","0.871","","","","","0.982","0.101","NOT","","","6.31","NOT","","","5.141","","","","","","","","","6.72","1.25","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 1FG-236","","SIBERIAN TRAPS / NORILSK REGION","MAIMECHA RIVER BASIN, DIKES","69","86","70","94","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","44.32","4.65","6.6","","","","","13.48","","11.16","14.98","0.18","","","","","","1.26","2.83","","0.54","","","","","","","","","","1.08","","","","","","","","","","","","","","","","","","","24","","363","440","","","","","","70","571","NOT","","","306","134","","","","29","NOT","","","1964","NOT","","","31","523","","","","","","","456","158.2","277.9","","113.4","NOT","","","17.1","NOT","","","4.24","11.6","1.499","","","","","1.802","0.184","NOT","","","11.38","NOT","","","7.851","","","","","","","","","14.29","2.41","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 1FG-239","","SIBERIAN TRAPS / NORILSK REGION","MAIMECHA RIVER BASIN, DIKES","69","86","70","94","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","43.21","2.99","4.16","","","","","12.01","","7.94","26.7","0.17","","","","","","0.85","1.62","","0.36","","","","","","","","","","0.81","","","","","","","","","","","","","","","","","","","21","","271","1019","","","","","","95","1286","NOT","","","176","102","","","","18","NOT","","","1087","NOT","","","20","337","","","","","","","320","90.4","183.2","","70.5","NOT","","","10.69","NOT","","","2.7","7.31","0.941","","","","","1.149","0.118","NOT","","","7.56","NOT","","","4.595","","","","","","","","","8.52","1.49","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 2FG-31","","SIBERIAN TRAPS / NORILSK REGION","MAIMECHA RIVER BASIN, DIKES","69","86","70","94","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","40.24","4.12","2.15","","","","","16.06","","8.64","27.69","0.23","","","","","","0.08","0.22","","0.57","","","","","","","","","","5.66","","","","","","","","","","","","","","","","","","","24","","280","1600","","","","","","117","1100","NOT","","","118","92","","","","0","NOT","","","400","NOT","","","18","345","","","","","","","116","54.2","112.6","","56","NOT","","","11.84","NOT","","","3.07","","1","","","","","1.217","0.154","NOT","","","7.62","NOT","","","4.336","","","","","","","","","4.89","1.15","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [1833] FEDORENKO V. A. (1997)","samp. 2FG-32","97774","SIBERIAN TRAPS / NORILSK REGION","MAIMECHA RIVER BASIN, DIKES","69","86","70","94","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","39.38","5.57","2.86","","","","","17.28","","11.3","22.27","0.24","","","","","","0.13","0.18","","0.79","","","","","","","","","","6.79","","","","","","","","","","","","","","","","","","","31","","360","1200","","","","","","100","760","NOT","","","134","96","","","","0","NOT","","","435","NOT","","","27","450","","","","","","","164","71.7","150.4","","72.1","NOT","","","15.51","NOT","","","4.07","","1.318","","","","","1.469","0.199","NOT","","","10.26","NOT","","","5.786","","","","","","","","","6.58","1.51","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1995 "," [2415] ARNDT N. T.(1995)  [GeoReM [198] ]","samp. 3E","","SIBERIAN TRAPS / PUTORANA REGION","GULI MASSIF, DIKE","72","101","72","101","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","41.1","1.89","2.35","","","","","11.95","","4.39","37.8","0.18","","","","","","0.03","0.02","","0.25","","","","","","","","","","6.57","","","","","","","","","","","","","","","","","","","","","156","2041","","","","","","129","2154","XRF","","","72","88","6","","","0","XRF","","","223","XRF","","","10","149","30","","","","","","134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1995 "," [2415] ARNDT N. T.(1995)  [GeoReM [198] ]","samp. 24-4","","SIBERIAN TRAPS / PUTORANA REGION","GULI MASSIF, DIKE","72","101","72","101","OUTCROP","SUBAERIAL","VOLCANIC ROCK","MEIMECHITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","40.2","1.89","2.54","","","","","12.87","","5.18","35.9","0.2","","","","","","0.87","0.02","","0.25","","","","","","","","","","3.54","","","","","","","","","","","","","","","","","","","","","187","3052","","","","","","130","1923","XRF","","","81","97","7","","","47","XRF","","","301","XRF","","","12","152","30","","","","","","194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
