Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);GRAIN SIZE;PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);;;;TIO2(WT%);;;;ZRO2(WT%);THO2(WT%);UO2(WT%);AL2O3(WT%);;;;CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);CEO2(WT%);ND2O3(WT%);SM2O3(WT%);GD2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O3(WT%);NB2O5(WT%);TA2O5(WT%);PR2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);;;;MGO(WT%);;;;MNO(WT%);;;;BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);COO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);K(WT%);HE(CCMSTP/G);HE3(CCMSTP/G);HE4(CCMSTP/G);LI(PPM);;;;BE(PPM);B(PPM);F(PPM);S(PPM);CL(PPM);AR40(CCMSTP/G);AR40(MOL/G);CA(PPM);SC(PPM);;;;TI(PPM);V(PPM);;;;CR(PPM): altern. values or methods;;;;MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM);GE(PPM);AS(PPM);BR(PPM): altern. values or methods;;;;RB(PPM): altern. values or methods;;;;;;SR(PPM): altern. values or methods;;;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);CD(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM): altern. values or methods;;;;HF(PPM): altern. values or methods;;;;TA(PPM);W(PPM);RE(PPB);RE(PPT);OS(PPB);OS(PPT);IR(PPB);PT(PPB);AU(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB210_ACT(DPM/G);BI(PPM);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;;;U(PPM): altern. values or methods;;;;;;ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;ND145_ND144;SM147_ND144;SR84_SR86;SR84_SR88;SR87_SR86;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;OS187_OS188;RE187_OS188;HF176_HF177;HF176_HF177_INI;EPSILON_HF;EPSILON_HF_INI;LU176_HF177;HE3_HE4(R/R(A));HE4_HE3;PB206_U238;PB207_U235;PB208_TH232;PB210_RA226_ACT;PB210_U238;RA226_TH230_ACT;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;TH232_U238;U238_PB204;U238_PB206;D7LI(PER MIL);D7LI(VS LSVEC);D11B(PER MIL);D11B(VS NBS951);D13C(PER MIL);D13C(VS PDB);D13C(VS VPDB);D18O(PER MIL);D18O(VS SMOW): altern. values or methods;;;;;;D18O(VS VSMOW);D25MG(VS DSM3);D26MG(VS DSM3);D56FE(VS IRMM-014);D57FE(VS IRMM-014);MY_W182(VS NBS3163): altern. values or methods;;;;MY_W183(VS NBS3163);MY_W184(VS NBS3163);ALBITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);(AL)KALIFELDSPAR(MOL%);LARNITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);ORTHOCLASE(MOL%);QUARTZ(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);AGE_PB208_TH232(MA);
1981;[199] AOKI K.-I. (1981);samp. 20;;HAWAIIAN ISLANDS / OAHU;;21.34;-157.85;21.34;-157.85;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;;;;;;FRESH;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.84;NOT;;;;;;;1.12;;;;;;;;;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;[335] MAALOE S. (1992);samp. 363;;HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES;NORTH OF THE TOWN OF KALAHEO;22;-159.5;22;-159.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;38.04;XRF;;;3.03;XRF;;;;;;9.78;XRF;;;;;;;;;;;;;;;;;15.76;;;;12.9;XRF;;;14.04;XRF;;;0.2;XRF;;;;;;;;;0.97;XRF;;;2.98;XRF;;;0.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;XRF;;;;332;XRF;;;497;XRF;;;;;66.4;342;80;XRF;;;128;XRF;;;;;;;;;;24;XRF;;;;;1095;XRF;;;;;28;XRF;;;240;XRF;;;59;XRF;;;;;;;;;;;752;XRF;;;47.3;RNAA;;;88.7;RNAA;;;;55.1;RNAA;;;10.2;RNAA;;;2.7;;1;;0.9;;0.3;1.3;;;;;4.4;XRF;;;3.6;;;;;;;;;;;;;;;;;5.1;XRF;;;;;1.2;XRF;;;;;0.513065;;;;;;;;0.703063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;[335] MAALOE S. (1992);samp. 339;;HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES;NORTH OF THE TOWN OF KALAHEO;22;-159.5;22;-159.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;38.77;XRF;;;3.39;XRF;;;;;;10.26;XRF;;;;;;;;;;;;;;;;;16.68;;;;12.03;XRF;;;13.32;XRF;;;0.2;XRF;;;;;;;;;0.93;XRF;;;2.1;XRF;;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;XRF;;;;358;XRF;;;483;XRF;;;;;;416;99;XRF;;;123;XRF;;;;;;;;;;25;XRF;;;;;674;XRF;;;;;26;XRF;;;236;XRF;;;64;XRF;;;;;;;;;;;856;XRF;;;43;RNAA;;;90;RNAA;;;;46;RNAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.513028;;;;;;;;0.703177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;[335] MAALOE S. (1992);samp. 338;;HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES;NORTH OF THE TOWN OF KALAHEO;22;-159.5;22;-159.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;38.84;XRF;;;3.34;XRF;;;;;;9.8;XRF;;;;;;;;;;;;;;;;;16.1;;;;12.22;XRF;;;14.31;XRF;;;0.21;XRF;;;;;;;;;1.08;XRF;;;2.28;XRF;;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;XRF;;;;344;XRF;;;460;XRF;;;;;75;357;94;XRF;;;113;XRF;;;;;;;;;;28;XRF;;;;;660;XRF;;;;;24;XRF;;;231;XRF;;;63;XRF;;;;;;;;;;;1134;XRF;;;44.3;RNAA;;;75.3;RNAA;;;;46.5;RNAA;;;9.9;RNAA;;;2.5;;0.8;;1.7;;0.3;1.2;;;;;4.9;XRF;;;3.9;;;;;;;;;;;;;;;;;5.5;XRF;;;;;1;XRF;;;;;0.513035;;;;;;;;0.703281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;[335] MAALOE S. (1992);samp. 344;;HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES;NORTH OF THE TOWN OF KALAHEO;22;-159.5;22;-159.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;38.47;XRF;;;3.31;XRF;;;;;;9.46;XRF;;;;;;;;;;;;;;;;;15.89;;;;12.17;XRF;;;15.16;XRF;;;0.2;XRF;;;;;;;;;0.93;XRF;;;2.06;XRF;;;0.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;XRF;;;;351;XRF;;;488;XRF;;;;;68.2;353;90;XRF;;;114;XRF;;;;;;;;;;26;XRF;;;;;865;XRF;;;;;24;XRF;;;226;XRF;;;62;XRF;;;;;;;;;;;1114;XRF;;;37.8;RNAA;;;75.9;RNAA;;;;44.1;RNAA;;;7.5;RNAA;;;2.3;;1;;0.8;;0.2;1.1;;;;;4;XRF;;;3.5;;;;;;;;;;;;;;;;;4.1;XRF;;;;;2;XRF;;;;;0.51303;;;;;;;;0.703227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;[335] MAALOE S. (1992);samp. 385;;HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES;NORTH OF THE TOWN OF KALAHEO;22;-159.5;22;-159.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;38.13;XRF;;;2.59;XRF;;;;;;10.04;XRF;;;;;;;;;;;;;;;;;15.08;;;;13.04;XRF;;;13.94;XRF;;;0.23;XRF;;;;;;;;;1.09;XRF;;;4.23;XRF;;;1.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;XRF;;;;292;XRF;;;414;XRF;;;;;;305;86;XRF;;;142;XRF;;;;;;;;;;26;XRF;;;;;1356;XRF;;;;;34;XRF;;;198;XRF;;;65;XRF;;;;;;;;;;;858;XRF;;;63;RNAA;;;132;RNAA;;;;69;RNAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[336] CLAGUE D. A. (1988);samp. 76W12;;HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES;NORTH OF THE TOWN OF KALAHEO;22;-159.5;22;-159.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, NEPHELINE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;38.3;XRF;;;3.65;XRF;;;;;;9.56;XRF;;;;;;;;;;;;;;;;;;6.83;;7.08;11.8;XRF;;;14.4;XRF;;;0.19;XRF;;;;;;;;;1.49;XRF;;;2.65;XRF;;;0.84;;1.29;0.63;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;530;XRF;;;;;;320;95;XRF;;;124;XRF;;;;;;;;;;44;XRF;;;;;729;XRF;;;;;27;XRF;;;292;XRF;;;79;XRF;;;;;;;;;;;615;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[336] CLAGUE D. A. (1988);samp. 76W6;;HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES;NORTH OF THE TOWN OF KALAHEO;22;-159.5;22;-159.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, NEPHELINE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;37.7;XRF;;;3.5;XRF;;;;;;9.53;XRF;;;;;;;;;;;;;;;;;;8.79;;4.53;11.8;XRF;;;15.1;XRF;;;0.19;XRF;;;;;;;;;1.3;XRF;;;2.41;XRF;;;0.81;;1.4;0.98;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;XRF;;;;;;316;90;XRF;;;118;XRF;;;;;;;;;;50;XRF;;;;;1200;XRF;;;;;24;XRF;;;262;XRF;;;70;XRF;;;;;;;;;;;765;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;[344] RODEN M. F. (1984);samp. MQ2L;;HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES;VENT 37;21.34;-157.85;21.34;-157.85;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.2;INAA;;;;263;XRF;;;337;INAA;;;;;;160;;;;;209;XRF;;;;;;;;;;59.4;TIMS_ID;;;;;2781;TIMS_ID;;;;;;;;;245;XRF;;;82;XRF;;;;;;;;;;;760;XRF;;;73;INAA;;;146;INAA;;;;63;INAA;;;15.7;INAA;;;4.8;;1.55;;;;;1.11;0.14;INAA;;;5.6;INAA;;;4.7;;;;;;;;;;;;;;;;;7.4;INAA;;;;;;;;;;;0.513056;;;;;;;;0.70337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;[344] RODEN M. F. (1984);samp. PEG;;HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES;VENT 37;21.34;-157.85;21.34;-157.85;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;INAA;;;;249;XRF;;;5;INAA;;;;;;27;;;;;186;XRF;;;;;;;;;;71.7;TIMS_ID;;;;;1731;TIMS_ID;;;;;;;;;616;XRF;;;211;XRF;;;;;;;;;;;2380;XRF;;;131;INAA;;;261;INAA;;;;114;INAA;;;26.3;INAA;;;8.2;;2.9;;;;;2.74;0.36;INAA;;;13;INAA;;;9.6;;;;;;;;;;;;;;;;;18.2;INAA;;;;;;;;;;;0.513027;;;;;;;;0.70336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
