Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);THO2(WT%);UO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CUO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);;;;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);;;;CL(WT%);SO3(WT%);S(WT%);LOI(WT%);SI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%);;;;CR(WT%);HE4(CCMSTP/G);;;;;;LI(PPM);BE(PPM);B(PPM);F(PPM);NE20(CCMSTP/G);;;;;;P(PPM);S(PPM);CL(PPM);AR36(CCMSTP/G);;;;;;AR39(MOL/G);AR40(AT/G): altern. values or methods;;;;;;AR40(CCMSTP/G): altern. values or methods;;;;AR40(MOL/G): altern. values or methods;;;;AR40(PPB);K(PPM);SC(PPM): altern. values or methods;;;;TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);AS(PPB);SE(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM);TB(PPM): altern. values or methods;;;;DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM): altern. values or methods;;;;HF(PPM): altern. values or methods;;;;TA(PPM): altern. values or methods;;;;W(PPM): altern. values or methods;;;;OS(PPB);IR(PPB);PT(PPB);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;;;PB210_ACT(DPM/G): altern. values or methods;;;;BI(PPM);RA226(PPQ);RA226_ACT(DPM/G): altern. values or methods;;;;TH(PPM): altern. values or methods;;;;TH232(PPM);U(PPM): altern. values or methods;;;;U238(PPM);ND143_ND144: altern. values or methods;;;;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86: altern. values or methods;;;;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB204_INI;PB207_PB204: altern. values or methods;;;;PB207_PB204_INI;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB204_INI;PB208_PB206;OS187_OS188;HF176_HF177;HF178_HF177;EPSILON_HF_INI;LU176_HF177;YB176_HF177;HE3_HE4(R/R(A));HE4_HE3;AR36_AR39;AR37_AR39;AR38_AR36: altern. values or methods;;;;;;AR38_AR39;AR40_AR36: altern. values or methods;;;;;;AR40_AR39;AR40_K40;NE20_NE22: altern. values or methods;;;;;;NE21_NE22: altern. values or methods;;;;;;PB206_U238;PB207_U235;PB210_RA226: altern. values or methods;;;;RA226_TH230;RA226_TH230_ACT;RA226_U238;RA228_TH232;PA231_U235_ACT;TH228_TH232;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;TH232_U238;U234_U238_ACT;U235_PB204;U238_PB204;U238_TH232_ACT;CL36_CL;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ACMITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);CHROMITE(MOL%);CELSIAN(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);HERCYNITE(MOL%);ILMENITE(MOL%);KALSILITE(MOL%);LARNITE(MOL%);MAGNESIOFERRITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);ORTHOCLASE(MOL%);QUARTZ(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);TSCHERMAKITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
1990;[41] FREY F. A. (1990);samp. NO-10;1089;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES;WEST FLANK;19.6;-155.7;19.6;-155.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;58000;74000;PLEISTOCENE;;;;;;;WHOLE ROCK;;;;;;;;;;54.17;1.6;;;;17.11;;;;;;;;;;9.58;;;;5;2.63;0.22;;;;;;;2.55;XRF;;;5.48;XRF;5.43;INAA;;;1.07;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.8;INAA;;;;17;XRF;;;18;INAA;;;;11;INAA;;;21;XRF;;;;;;;126;XRF;;;23.5;XRF;;;;;;;56.4;XRF;;;1026;XRF;;;50;XRF;;;732;XRF;;;76;XRF;;;;;;;;;;;;;;;792;XRF;;;75.1;INAA;;;184;INAA;;;;88;INAA;;;16.9;INAA;;;5.02;INAA;;;;1.89;INAA;;;;2.2;;;4.18;0.58;INAA;;;15.6;INAA;;;4.6;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;[43] LANPHERE M. A. (1987);samp. H71-10;1249;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;POLOLU VALLEY;20.23;-155.8;20.23;-155.8;284;300;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;55.4;1.35;;;;17.86;;;;;;;;;;9.18;;;;4.14;2.23;0.24;;;;;;;2.76;XRF;2.79;AES;5.51;XRF;5.6;INAA;5.7;AES;0.96;0.48;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.9;INAA;;;;;;;;13.7;INAA;;;;8.6;INAA;;;;;;;;;;;;;;;;;;;;;;;60.9;XRF;;;974;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;0.18;920;INAA;;;84.5;INAA;;;189;INAA;;;;88.5;INAA;;;16.9;INAA;;;4.89;INAA;;;;1.88;INAA;;;;2.2;;;4.3;0.6;INAA;;;17.6;INAA;;;5.1;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.5;INAA;;;;;;;;;;;;;;;;;0.70348;TIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;[43] LANPHERE M. A. (1987);samp. H71-3;1250;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;37;49;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;49.62;2.51;;;;16.54;;;;;;;;;;11.72;;;;6.69;3.71;0.23;;;;;;;1.83;XRF;1.84;AES;5.36;XRF;5.24;INAA;5.4;AES;1.83;0.24;;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.5;INAA;;;;;;;;5.5;INAA;;;;12.5;INAA;;;;;;;;;;;;;;;;;;;;;;;48.3;XRF;;;1816;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;610;INAA;;;60.9;INAA;;;148;INAA;;;;81.8;INAA;;;18.5;INAA;;;5.75;INAA;;;;2.23;INAA;;;;2.2;;;3.6;0.5;INAA;;;8.8;INAA;;;3.4;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;INAA;;;;;;;;;;;;;;;;;0.70353;TIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;[43] LANPHERE M. A. (1987);samp. 72M033;;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;SOUTHWEST FLANK;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;52.29;2.16;;;;17.01;;;;;;;;;;10.11;;;;5.93;3.15;0.2;;;;;;;2.3;XRF;2.27;AES;5.33;XRF;5.29;INAA;5.4;AES;1.47;0.29;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.7;INAA;;;;;;;;8.6;INAA;;;;12.4;INAA;;;;;;;;;;;;;;;;;;;;;;;58.3;XRF;;;1338;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;0.45;646;INAA;;;63.9;INAA;;;154;INAA;;;;80.9;INAA;;;15.6;INAA;;;4.59;INAA;;;;1.89;INAA;;;;2;;;3.63;0.51;INAA;;;11.1;INAA;;;3.89;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.6;INAA;;;;;;;;;;;;;;;;;0.70352;TIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;[43] LANPHERE M. A. (1987);samp. 72M036;1253;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;SOUTHWEST FLANK;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;52.4;2;;;;17.08;;;;;;;;;;10.32;;;;5.46;3;0.24;;;;;;;2.1;XRF;2.11;AES;5.61;XRF;5.62;INAA;5.3;AES;1.43;0.38;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.9;INAA;;;;;;;;14.7;INAA;;;;8.8;INAA;;;;;;;;;;;;;;;;;;;;;;;58.2;XRF;;;1772;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;720;INAA;;;65.9;INAA;;;157;INAA;;;;87.4;INAA;;;18;INAA;;;5.53;INAA;;;;2.26;INAA;;;;2.3;;;3.87;0.51;INAA;;;10.5;INAA;;;3.86;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.2;INAA;;;;;;;;;;;;;;;;;0.70352;TIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. M(OL);;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;FINE-GRAINED INTERGRANULAR, APHYRIC;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;PRIMARY;;;;;35.56;;;;;;;;;;;;;;;;;;32.44;0.5;30.85;1.06;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. M(MT);;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;FINE-GRAINED INTERGRANULAR, APHYRIC;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SPINEL;;;;PRIMARY;;;;;;23.84;;;;0.87;;;;;;;;;;;;;70.45;;2.49;1.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. M(PLAG);;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;FINE-GRAINED INTERGRANULAR, APHYRIC;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);PLAGIOCLASE;;;;PRIMARY;;;;;59.3;;;;;24.9;;;;;;;;;;;;;1.02;7.7;;;;;;;;;0.57;EMP (EPMA);;;6.51;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. H-22-74;;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;FINE-GRAINED INTERGRANULAR, APHYRIC;;;;;;;;;FRESH;;MINERAL / COMPONENT (INCL. GROUNDMASS);APATITE;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;53.8;;;;0.4;;;;;;;;;;;;;;;41.2;;;;;;3.59;EMP (EPMA);;;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[46] SPENGLER S. (1988);samp. H-84-25;;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;FINE-GRAINED INTERGRANULAR, APHYRIC;;;;;;;;;FRESH;;MINERAL / COMPONENT (INCL. GROUNDMASS);APATITE;;;;PRIMARY;;;;;0.17;;;;;;;;;;;;;;;;;;0.95;53.36;0.48;0.1;;;;;;;;;;;;;;;;;40.53;;;;;;3.45;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;475;EMP (EPMA);;;530;EMP (EPMA);;;110;635;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
