Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);GRAIN SIZE;PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);INCLUSION SIZE;SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);V2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);NIO(WT%);K2O(WT%);NA2O(WT%);;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);SO3(WT%);S(WT%);LOI(WT%);MN(WT%);K(WT%);NI(WT%);HE3(CCMSTP/G);HE4(CCMSTP/G);LI(PPM);BE(PPM);B(PPM);NE20(CCMSTP/G);NE22(CCMSTP/G);S(PPM);CL(PPM);AR36(CCMSTP/G);AR40(AT/G): altern. values or methods;;;;;;AR40(CCMSTP/G);AR40(PPB);SC(PPM): altern. values or methods;;;;;;TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;;;NI(PPM): altern. values or methods;;;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);KR84(CCMSTP/G);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);RU(PPB);PD(PPB);CD(PPM);IN(PPM);SN(PPM);SB(PPM);XE130(CCMSTP/G);XE132(CCMSTP/G);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM);SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM);TB(PPM): altern. values or methods;;;;DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM): altern. values or methods;;;;LU(PPM);HF(PPM): altern. values or methods;;;;TA(PPM);W(PPM);RE(PPB);RE(PPT);OS(PPB);IR(PPB);PT(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;BI(PPM);RA226(PPT);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;U(PPM): altern. values or methods;;;;ND143_ND144;SR87_SR86;PB206_PB204;PB207_PB204;PB208_PB204;OS187_OS188;HE3_HE4;HE3_HE4(R/R(A));HE4_HE3;AR38_AR36;AR40_AR36;NE20_NE22;NE21_NE22;PB210_RA226;RA226_TH230;RA228_TH232;TH230_TH232_ACT;TH230_U238_ACT;U238_TH232_ACT;D18O(VS SMOW);ALBITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA);
1992;[18] PEGRAM W. J. (1992);samp. RE;;MASCARENE ISLANDS INCL. REUNION / REUNION / OCEANITE SERIES;;-21;55.85;-21;55.85;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.239;;0.107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;[169] SOBOLEV A. V. (1994);samp. H-OC;4151;HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES;;19.47;-155.58;19.47;-155.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;HOLOCENE;;;1868;;;WHOLE ROCK;;;;;;;;;;;;;;47.06;1.29;8.75;;;;;11.52;;6.69;21.1;0.17;;0.29;1.43;ICPAES;;;0.24;;;;;;;;;0.26;;;;;;;;;;;;;;;;;;;;;;27;INAA;23.3;ICPAES;20.9;INAA;;;;;;;;;;;90;INAA;77;ICPAES;84.3;INAA;930;INAA;982;ICPAES;1063;INAA;;;;;;;;;;;;;;;;7;ICPAES;4.3;INAA;18;INAA;204;ICPAES;17;ICPAES;;;81;ICPAES;64;INAA;9;ICPAES;;;;;;;;;;;;0.04;42;ICPAES;58.4;INAA;7.2;INAA;5.85;INAA;15.6;INAA;12.1;INAA;;;2.54;INAA;2.9;INAA;0.82;INAA;1.21;INAA;;0.43;INAA;0.45;INAA;2.5;;;;1.2;INAA;1.29;INAA;0.21;1.6;INAA;2.21;INAA;0.43;;;;;;;;;;;;;;;5;ICPAES;0.42;INAA;0.121;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;[169] SOBOLEV A. V. (1994);samp. H-OC;4151;HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES;;19.47;-155.58;19.47;-155.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;HOLOCENE;;;1868;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;H-OC_1;PHENOCRYST;;;PRIMARY;;;;;;;;40.48;;0.06;0.09;;;;;10.51;0.27;48.19;0.17;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.09;;;;;;;;;;;
1994;[169] SOBOLEV A. V. (1994);samp. H-OC;4151;HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES;;19.47;-155.58;19.47;-155.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;HOLOCENE;;;1868;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;H-OC_2;PHENOCRYST;;;PRIMARY;;;;;;;;40.13;;0.11;0.09;;;;;11.96;0.31;46.61;0.2;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.42;;;;;;;;;;;
1994;[169] SOBOLEV A. V. (1994);samp. H-OC;4151;HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES;;19.47;-155.58;19.47;-155.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;HOLOCENE;;;1868;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;H-OC_3;PHENOCRYST;;;PRIMARY;;;;;;;;39.97;;0.04;0.06;;;;;14.76;0.28;44.94;0.21;0.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.44;;;;;;;;;;;
1994;[169] SOBOLEV A. V. (1994);samp. H-OC;4151;HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES;;19.47;-155.58;19.47;-155.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;HOLOCENE;;;1868;;;INCLUSION;;;;;;;MINERAL INCLUSION;;SPINEL;OLIVINE;FALSE;;;0.14;1.3;13.88;47.82;0.16;;8.17;;14.31;;13.62;0.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;[169] SOBOLEV A. V. (1994);samp. H-OC;4151;HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES;;19.47;-155.58;19.47;-155.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;HOLOCENE;;;1868;;;INCLUSION;;;;;;;MINERAL INCLUSION;;SPINEL;OLIVINE;FALSE;;;0.1;1.92;13.68;44.93;0.16;;9.37;;16.82;;12.26;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;[169] SOBOLEV A. V. (1994);samp. H-OC;4151;HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES;;19.47;-155.58;19.47;-155.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;HOLOCENE;;;1868;;;INCLUSION;;;;;;;GLASS INCLUSION;;;OLIVINE;TRUE;1310;;49.27;1.81;13.76;;;;;10.61;;9.9;12.2;0.15;;0.22;1.96;EMP (EPMA);;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;[169] SOBOLEV A. V. (1994);samp. H-OC;4151;HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES;;19.47;-155.58;19.47;-155.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;HOLOCENE;;;1868;;;INCLUSION;;;;;;;GLASS INCLUSION;;;OLIVINE;TRUE;1280;;50.39;2.14;13.79;;;;;9.42;;10.43;11.13;0.16;;0.32;2.11;EMP (EPMA);;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;[169] SOBOLEV A. V. (1994);samp. H-OC;4151;HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES;;19.47;-155.58;19.47;-155.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;HOLOCENE;;;1868;;;INCLUSION;;;;;;;GLASS INCLUSION;;;OLIVINE;TRUE;1240;;50.68;2.1;13.96;;;;;10.47;;10.6;9.14;0.16;;0.51;2.26;EMP (EPMA);;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
