Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,SPOT (MINERAL),CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,INCLUSION TYPE,SPOT (INCLUSION),MINERAL (INCLUSION),HOSTMINERAL (INCLUSION),HEATING,HEATING TEMPERATURE (?C),SIO2(WT%),TIO2(WT%),ZRO2(WT%),AL2O3(WT%),CR2O3(WT%),LA2O3(WT%),CE2O3(WT%),ND2O3(WT%),SM2O3(WT%),Y2O3(WT%),V2O3(WT%),NB2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),CUO(WT%),K2O(WT%),NA2O(WT%): altern. values or methods,,,,P2O5(WT%),H2O(WT%): altern. values or methods,,,,H2OP(WT%),H2OM(WT%),CO2(WT%),F(WT%),CL(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),SI(WT%),AL(WT%),TI(WT%),FE(WT%),MN(WT%),CA(WT%),Y(WT%),LA(WT%),CE(WT%),K(WT%): altern. values or methods,,,,NA(WT%),HE4(CCMSTP/G),LI(PPM): altern. values or methods,,,,BE(PPM),B(PPM),F(PPM),MG(PPM),AL(PPM),SI(PPM),S(PPM),CL(PPM),AR40(CCMSTP/G),AR40(MOL/G),CA(PPM),SC(PPM),TI(PPM),V(PPM): altern. values or methods,,,,CR(PPM): altern. values or methods,,,,MN(PPM),FE(PPM),CO(PPM),NI(PPM): altern. values or methods,,,,CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),RB(PPM): altern. values or methods,,,,SR(PPM): altern. values or methods,,,,Y(PPM): altern. values or methods,,,,ZR(PPM): altern. values or methods,,,,NB(PPM),MO(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM): altern. values or methods,,,,I(PPM),CS(PPM),BA(PPM): altern. values or methods,,,,LA(PPM): altern. values or methods,,,,CE(PPM): altern. values or methods,,,,PR(PPM),ND(PPM): altern. values or methods,,,,SM(PPM): altern. values or methods,,,,EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),HG(PPM),TL(PPM),PB(PPM): altern. values or methods,,,,BI(PPM),TH(PPM): altern. values or methods,,,,U(PPM): altern. values or methods,,,,ND143_ND144,SM147_ND144,SR87_SR86,SR87_SR86_INI,RB87_SR86,PB206_PB204,PB207_PB204,PB208_PB204,HF176_HF177,TH232_PB204,U235_PB204,U238_PB204,D11B(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),D33S(VS VCDT): altern. values or methods,,,,,,,,,,,,,,,,,,D34S(VS VCDT): altern. values or methods,,,,,,,,,,,,,,,,,,ALBITE(MOL%),ACMITE(MOL%),AEGIRINE(MOL%),ANORTHITE(MOL%),CELSIAN(MOL%),ENSTATITE(MOL%),FAYALITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),GEIKIELITE(MOL%),HEMATITE(MOL%),ILMENITE(MOL%),LAIHUNITE(MOL%),LARNITE(MOL%),MAGNESIOFERRITE(MOL%),MAGNETITE(MOL%),ORTHOCLASE(MOL%),PYROPHANITE(MOL%),TEPHROITE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(KA),AGE(MA),AGE_PB206_U238(MA)
1975, [473] BAKER P. E. (1975),samp. 4,,AZORES / TERCEIRA / SANTA BARBARA,,38.72,-27.22,38.72,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,WHOLE ROCK,,,,,,,,,,,,67.5,0.6,,13.97,,,,,,,,,,1.24,,4.07,0.44,0.15,0.19,,,,,,4.24,7.39,NOT,,,,,,,,0.32,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. AT6,,AZORES / TERCEIRA / QUATRO RIBEIRAS,"ROAD-CUT 1 KM EAST, CENTER OF FLOW",38.82,-27.22,38.82,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,WHOLE ROCK,,,,,,,,,,,,67.2,0.7,,13,,,,,,,,,,5.2,,0.7,0.5,0.4,0.26,,,,,,4.9,6.7,NOT,,,0.05,0.5,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. AT6P,,AZORES / TERCEIRA / QUATRO RIBEIRAS,"ROAD-CUT 1 KM EAST, CENTER OF FLOW",38.82,-27.22,38.82,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,,,,PRIMARY,,,,,,,50.3,0.3,,0.5,,,,,,,,,,,19.2,,19.4,7.3,1.3,,,,,,,1.1,EMP (EPMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. AT6G1,,AZORES / TERCEIRA / QUATRO RIBEIRAS,"ROAD-CUT 1 KM EAST, CENTER OF FLOW",38.82,-27.22,38.82,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,,,,PRIMARY,,,,,,,51,0.7,,0.2,,,,,,,,,33.1,,,,1.3,0.2,1.1,,,,,,,12.1,EMP (EPMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. AT6G2,,AZORES / TERCEIRA / QUATRO RIBEIRAS,"ROAD-CUT 1 KM EAST, CENTER OF FLOW",38.82,-27.22,38.82,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,,,,PRIMARY,,,,,,,51,2.3,,0.3,,,,,,,,,31.4,,,,1.3,0.1,0.6,,,,,,,12.5,EMP (EPMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. AT60C,,AZORES / TERCEIRA / QUATRO RIBEIRAS,"ROAD-CUT 1 KM EAST, CENTER OF FLOW",38.82,-27.22,38.82,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),OLIVINE,,,,PRIMARY,,,,,,,30.8,,,,,,,,,,,,,,58.5,,0.4,6.4,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. AT60R,,AZORES / TERCEIRA / QUATRO RIBEIRAS,"ROAD-CUT 1 KM EAST, CENTER OF FLOW",38.82,-27.22,38.82,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),OLIVINE,,,,PRIMARY,,,,,,,30.6,,,,,,,,,,,,,,58.6,,0.4,5.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995, [709] MUNGALL J. E. (1995),samp. P16,,AZORES / TERCEIRA / PICO ALTO,,38.72,-27.22,38.72,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,WHOLE ROCK,,,,,,,,,,,,66.78,0.53,,10.55,,,,,,,,,,2.57,,5.8,0.51,0.08,0.34,,,,,,4.45,7.3,XRF,,,0.04,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,XRF,,,0,XRF,,,,,,0,XRF,,,,,39,,,187,XRF,,,2,XRF,,,152,XRF,,,1742,XRF,,,304,,,,,,,,,,,,201,XRF,,,,,,,367,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,NOT,,,19,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995, [709] MUNGALL J. E. (1995),samp. 90-173,,AZORES / TERCEIRA / PICO ALTO,,38.72,-27.22,38.72,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,WHOLE ROCK,,,,,,,,,,,,66.53,0.51,,11.1,,,,,,,,,,2.73,,5.21,0.44,0.1,0.33,,,,,,4.62,7.27,XRF,,,0.03,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,XRF,,,0,XRF,,,,,,0,XRF,,,,,39,,,178,XRF,,,1,XRF,,,143,XRF,,,1616,XRF,,,285,,,,,,,,,,,,231,XRF,,,,,,,341,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,NOT,,,20,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995, [709] MUNGALL J. E. (1995),samp. 90-175,,AZORES / TERCEIRA / PICO ALTO,,38.72,-27.22,38.72,-27.22,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,ORIGINALLY REPORTED AS PANTELLERITE,,,,,,,WHOLE ROCK,,,,,,,,,,,,66.75,0.55,,11.96,,,,,,,,,,3,,4.72,0.55,0.15,0.33,,,,,,4.76,6.96,XRF,,,0.03,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,XRF,,,0,XRF,,,,,,0,XRF,,,,,39,,,155,XRF,,,2,XRF,,,120,XRF,,,1335,XRF,,,246,,,,,,,,,,,,164,XRF,,,,,,,293,NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,NOT,,,19,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
