"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","S(WT%)","LOI(WT%)","K(WT%)","LI(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","S(PPM)","CL(PPM)","AR40(AT/G)","AR40(CCMSTP/G)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PB(PPM)","TH(PPM)","U(PPM): altern. values or methods","","","","ND143_ND144","ND143_ND144_INI","SR87_SR86","RB87_SR86","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","AR40_AR39","D18O(VS SMOW)","D18O(VS VSMOW)","ALBITE(MOL%)","ANORTHITE(MOL%)","ENSTATITE(MOL%)","FERROSILITE(MOL%)","ORTHOCLASE(MOL%)","WOLLASTONITE(MOL%)","AGE(MA): altern. values or methods","","","","","","","",
"1966"," [510] HAMILTON E. I. (1966)","samp. B718","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE / GLAS BHEINN MHOR GRANITE","SKYE, EASTERN RED HILLS","57","-5.7","57.7","-6.7","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.46","DNAA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1965"," [540] CARMICHAEL I. S. E. (1965)","samp. EC20","146398","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","WHOLE ROCK","","","","","63","0.71","15.1","","","","1.5","","1.2","1.2","0.69","0.11","","","6.2","4.9","0.11","","1.7","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1965"," [540] CARMICHAEL I. S. E. (1965)","samp. EC20","146398","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GROUNDMASS","","","PRIMARY","69.4","0.59","14.3","","","","1.3","","1","0.92","0.41","0.11","","","5.9","4.7","0.1","","1.4","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1968"," [1346] TAYLOR H. P. JR. (1968)","samp. ARRAN5","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ARRAN","55.58","-5.25","55.58","-5.25","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","","","","","","","","","","","","","","","",
"1967"," [1375] CARMICHAEL I. S. E. (1967)","samp. P186","17749","ICELAND / ICELAND","BONDOLFUR","65","-14","65","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","SPINEL","","","PRIMARY","0.09","19.4","0.78","0.01","0.03","","","","74.9","","0.24","0.9","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1938"," [1435] SHEPHERD E. S. (1938)","samp. 6","","RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / CERRO NO AGUA","","37","-105","37","-105","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","VOLCANIC GLASS","","","","","73.14","0.06","13.41","","","","0.33","","0.2","0.58","0.08","0.14","","","4.31","4.28","0.01","","3.1","0.12","","0.15","0.08","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1965"," [1628] MOORBATH S. (1965)","samp. E.461","","ICELAND / ICELAND / REYDARFJÖRDUR","HOLMAHALS","65.1","-14.1","65.1","-14.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PLAGIOCLASE","","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7015","","","","","","","","","","","","","","","","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. H270","","ICELAND / ICELAND","WEST VIKURFJALL, LON","66.1","-16.9","66.1","-16.9","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","PORPHYRITIC","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PLAGIOCLASE","","PHENOCRYST","PRIMARY","62.87","","23.25","","","","0.27","","","4.14","","","","","1.13","8.55","","","0.24","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.7","20.6","","","6.7","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. P186","17749","ICELAND / ICELAND","BONDOLFUR","65","-14","65","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PLAGIOCLASE","","PHENOCRYST","PRIMARY","63.44","","22.37","","","","0.35","","","3.42","","","","","0.86","9.17","","","0.23","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.9","17.1","","","5","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. P258","22533","ICELAND / ICELAND","SKRUDHUR","64.92","-13.67","64.92","-13.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PLAGIOCLASE","","PHENOCRYST","PRIMARY","65.32","","20.69","","","","0.53","","","2.18","","","","","2.01","9.14","","","0.14","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.5","10.8","","","11.7","","","","","","","","","",
