"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","INCLUSION TYPE","MINERAL (INCLUSION)","HOSTMINERAL (INCLUSION)","HEATING","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","K(WT%): altern. values or methods","","","","LI(PPM)","BE(PPM)","F(PPM)","S(PPM)","CL(PPM)","AR40(MOL/G)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM): altern. values or methods","","","","ZR(PPM): altern. values or methods","","","","NB(PPM): altern. values or methods","","","","SN(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM): altern. values or methods","","","","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","PB(PPM): altern. values or methods","","","","TH(PPM)","U(PPM): altern. values or methods","","","","ND143_ND144","SM147_ND144","SR87_SR86","SR87_SR86_INI","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","TH232_PB204","U238_PB204","D7LI(VS LSVEC)","D18O(VS SMOW)","D34S(VS CDT)","DD(VS SMOW)","ALBITE(MOL%)","AEGIRINE(MOL%)","ANORTHITE(MOL%)","CELSIAN(MOL%)","DIOPSIDE(MOL%)","ENSTATITE(MOL%)","FE-ORTHOCLASE(MOL%)","FERROSILITE(MOL%)","HEDENBERGITE(MOL%)","JADEITE(MOL%)","(AL)KALIFELDSPAR(MOL%)","NEPTUNITE(MOL%)","ORTHOCLASE(MOL%)","TI-AEGIRINE(MOL%)","AGE(MA): altern. values or methods","","","",
"1986"," [913] JAVOY M. (1986)","samp. P60","","CANARY ISLANDS / FUERTEVENTURA / BASAL COMPLEX","BETANCURIA MASSIF, BARRANCO DEL AGUA SALADA","28.4","-14","28.4","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","","-66","","","","","","","","","","","","","","","","","","",
"1986"," [1313] NOUGIER J. (1986)","samp. G","","MADAGASCAR / NORTH(WESTERN) MADAGASCAR / MASSIF D^AMBRE VOLCANIC FIELD","ISTHME DU COURRIER, SOUTH BOBAOMBY","-12.5","49.17","-12.5","49.17","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","53.91","0.17","","21.52","","","2.06","","1.29","0.96","0.86","","","","6.3","9.28","0.07","","2.64","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1998"," [1761] RAY J. S. (1998)","samp. 6","","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT","22","74.08","22","74.08","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","EOCENE","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1172","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70655","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1998"," [1761] RAY J. S. (1998)","samp. 7","","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT","22","74.08","22","74.08","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","EOCENE","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71289","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1998"," [2421] LE ROEX A. P. (1998)","samp. OKJ-24","","ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / OKENENYA COMPLEX","PLUG","-20.77","15.4","-20.77","15.4","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","51.24","0.65","","20.91","","","","3.81","","2.91","1.16","0.12","","","5.8","9.18","0.17","","","0.18","2.39","","","","","4.89","","","","","","","","","","","2.5","","49","47","","9.4","11","7.9","55","","206","XRF","","","704","XRF","","","16","XRF","","","266","XRF","","","152","XRF","","","","","1176","XRF","","","55.6","HPIC","","","80.3","HPIC","","","7.55","20.5","HPIC","","","3.56","HPIC","","","1.11","2.58","0.44","HPIC","","","2.9","","1.7","","1.88","","","","","","","","","","","","","","","0.705533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1970"," [2582] MITCHELL-THOME R. C. (1970)","samp. 3","","TRINDADE-VITORIA RISE / TRINDADE","DIKE BETWEEN CABRITOS BEACH AND PT. CRISTA DE GALO","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","FINE-GRAINED GRANULAR","","","","","","WHOLE ROCK","","","","","","","","","","51","0.5","","19.41","","","2.97","","1.58","3.4","1.44","0.15","","","5.26","8","0.22","","1.82","2.3","","","","","","1.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1995"," [2808] GWALANI L. G. (1995)","samp. GK1","29261","DECCAN / NORTHERN DECCAN","PANWAD-KAWANT DIKES AND PLUGS, CHHOTA UDAIPUR SUBPROVINCE","22.17","74.03","22.17","74.03","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","NOT","","","231","NOT","","","","53.7","NOT","","","9.11","NOT","","","2.6","0","","","","","0","","2.56","","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1959"," [3411] BEARTH P. (1959)","samp. WB277A","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / EAST GREENLAND","WERNER BJERGE","71.77","-24.3","71.77","-24.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","53.44","0","","22.78","","","1.88","","0.92","1.12","0.14","0","","","8.89","9.16","0.01","","1.98","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1981"," [4761] PRINS P. (1981)","samp. K19","","ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / KALKFELD COMPLEX","","-20.57","16","-20.57","16","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","56.16","0.79","","19","","","3.17","","2.58","1.36","0.47","0.19","","","7.45","6.44","0.03","","1.05","0.34","0.96","","","","","","","","","","","","1090","","2136","","","","","","","","","","","","257","XRF","","","2002","XRF","","","17","XRF","","","892","XRF","","","382","XRF","","","","","468","XRF","","","102","XRF","","","170","XRF","","","","49","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1981"," [4761] PRINS P. (1981)","samp. OKU20","","ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / OKORUSU COMPLEX","DAMARALAND COMPLEX","-20.09","16.8","-20.09","16.8","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","CENTER OF COMPLEX","","","","","WHOLE ROCK","","","","","","","","","","54","0.3","","21.63","","","2.02","","1.28","1.39","1.13","0.14","","","4.77","10.93","0.2","","1.28","0.35","0.89","","","","","","","","","","","","","","","","","","","","","","","","","","104","XRF","","","354","XRF","","","24","XRF","","","198","XRF","","","70","XRF","","","","","2848","XRF","","","69","XRF","","","105","XRF","","","","39","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
