Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);SIO2(WT%);TIO2(WT%);ZRO2(WT%);B2O3(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);Y2O3(WT%);V2O3(WT%);NB2O3(WT%);TA2O5(WT%);WO3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CS2O(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);;;;H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);CA(WT%);K(WT%);NA(WT%);LI(PPM);BE(PPM);B(PPM);C(PPM);F(PPM);NA(PPM);MG(PPM);AL(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);AR40(CCMSTP/G);AR40(MOL/G);AR40(PPB);K(PPM);CA(PPM);SC(PPM);;;;TI(PPM);;;;V(PPM);CR(PPM);MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM);ZN(PPM);GA(PPM);GE(PPM);AS(PPM);SE(PPM);BR(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM): altern. values or methods;;;;AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);TE(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB206(PPM);BI(PPM);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;HF176_HF177;HF176_HF177_INI;EPSILON_HF_INI;LU176_HF177;YB176_HF177;AR36_AR39;AR36_AR40;AR37_AR39;AR38_AR39;AR39_AR40;AR40_AR36;AR40_AR39;PB206_U238;PB207_U235;PB208_TH232;TH232_PB204;TH232_U238;U235_PB204;U238_PB204;U238_PB206;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA): altern. values or methods;;;;;;AGE_PB208_TH232(MA);
1997;[1833] FEDORENKO V. A. (1997);samp. 2FG-58;;SIBERIAN TRAPS / PUTORANA REGION / DELKANSKY FORMATION;MAIMECHA-KOTUI REGION, MAIMECHA RIVER BASIN;72;101;72;101;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;64.16;0.84;;;17.34;;;;;;;;;;;3;;0.87;0.45;0.17;;;;;;;7.14;XRF;;;5.87;0.16;;;;;;;;;;;;;;0.46;;;;;;;;;;;;;;;;;;;;;;;;;2;NOT;;;;;;;28;3;;;1;5;16;128;;;;;;130;NOT;;;180;NOT;;;80;NOT;;;1200;NOT;;;;;;;;;;;;;;;;;;1600;NOT;;;186.4;NOT;;;3792;NOT;;;;168.7;NOT;;;29.95;NOT;;;7.21;;2.629;;;;;4.944;0.631;26.6;11.471;;;;;;;;;;;;;;19.47;NOT;;;3.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;[1833] FEDORENKO V. A. (1997);samp. 2FG-60;73437;SIBERIAN TRAPS / PUTORANA REGION / DELKANSKY FORMATION;MAIMECHA-KOTUI REGION, MAIMECHA RIVER BASIN;72;101;72;101;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;68.92;0.79;;;15.87;;;;;;;;;;;2.73;;0.14;0.34;0.04;;;;;;;5.62;XRF;;;5.4;0.14;;;;;;;;;;;;;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;2;NOT;;;;;;;37;7;;;2;5;20;174;;;;;;118;NOT;;;172;NOT;;;71;NOT;;;1100;NOT;;;;;;;;;;;;;;;;;;1100;NOT;;;105.6;NOT;;;3242;NOT;;;;82.3;NOT;;;15.28;NOT;;;3.67;;1.893;;;;;4.611;0.571;25.9;12.543;;;;;;;;;;;;;;19.66;NOT;;;2.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;[2841] ASMEROM Y.(1994)  [GeoReM [206] ];samp. 90-1;;BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / CENTRAL DEATH VALLEY VOLCANIC CENTER;;36.2144;-116.7197;36.2144;-116.7197;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;5400000;5400000;MIOCENE;;;;;WHOLE ROCK;;;;;;;;;;;;;69.11;0.43;;;15.22;;;;;;;;;2.92;;;;2.88;0.93;0.06;;;;;;;4.13;XRF;;;3.85;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.72;ICPMS;;;;;;;37;10;;;;7;;51;;;;;;97;ICPMS;;;456.7;ICPMS;;;15.48;ICPMS;;;189;XRF;;;11.8;XRF;;;;;;;;;;;;;;1251;ICPMS;;;45.16;ICPMS;;;81.08;ICPMS;;;8.21;26.79;ICPMS;;;4.24;ICPMS;;;0.968;3.88;0.48;2.55;0.501;1.5;0.202;1.4;0.2;4.26;0.893;;;;;;;;20.98;ICPMS;;;;;9.2;ICPMS;;;1.89;0.511402;;;;;0.707638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;[3300] TARAN YU. A. (1997);samp. ES-786;;KAMCHATKA ARC / KAMCHATKA BACK ARC / SREDINNY RIDGE / UXICHAN;;56.5;158.5;57;159;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);BIOTITE;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;MANO;;;;;;;0.67;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[3554] LEAT P. T. (1988);samp. 5LT149;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / ELK MOUNTAIN SILL;;40.57;-106.98;40.57;-106.98;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;MIOCENE;;;;;WHOLE ROCK;;;;;;;;;;;;;64.05;0.65;;;15.2;;;;;;;;;4;;;;3.84;2.75;0.065;;;;;;;3.95;XRF;;;4.87;0.44;;;;;;;;;;;;;;0.49;;;;;;;;;2.2;;;;;;;;;;;;;;;;8.9;INAA;;;;;;;;103;;;;36;;74;;;;;;47;XRF;;;1536;XRF;;;13;XRF;;;213;XRF;;;13.9;XRF;;;;;;;;;;;;;;3489;ICPMS;;;53;INAA;;;107;INAA;;;;47;INAA;;;6.9;INAA;;;1.83;5.3;0.62;;;;;1.13;0.18;7.4;0.79;4.5;;;;;;;;;;;;;5.4;INAA;;;2.5;0.512184;;;;;0.703961;;;;;17.328;;;;15.466;;;36.648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;[3554] LEAT P. T. (1988);samp. 5LT150;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / ELK MOUNTAIN SILL;;40.57;-106.98;40.57;-106.98;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;MIOCENE;;;;;WHOLE ROCK;;;;;;;;;;;;;62.94;0.72;;;14.97;;;;;;;;;4.29;;;;4.25;3.35;0.058;;;;;;;3.9;XRF;;;4.53;0.46;;;;;;;;;;;;;;0.56;;;;;;;;;2.3;;;;;;;;;;;;;;;;10.2;INAA;;;;;;;;150;;;;45;;59;;;;;;48;XRF;;;1551;XRF;;;14;XRF;;;210;XRF;;;14.7;XRF;;;;;;;;;;;;;;3420;ICPMS;;;39;INAA;;;91;INAA;;;;47;INAA;;;6.1;INAA;;;1.87;4.4;0.68;;;;;1.12;0.2;6.9;0.82;5.5;;;;;;;;;;;;;4.4;INAA;;;2.2;0.512214;;;;;0.703915;;;;;17.314;;;;15.494;;;36.724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;[3580] DEFANT M. J. (1991);samp. 188;;LUZON ARC / LUZON ARC / LUZON / MAQUILING (MAKILING);MACOLOD CORRIDOR;14.13;121.2;14.13;121.2;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;FLOW;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;66.4;0.49;;;15.69;;;;;;;;;3.97;;;;3.35;0.92;0.1;;;;;;;3.29;NOT;;;4.51;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;NOT;;;;;;;69;4;;;7;3;26;41;;;;;;88;NOT;;;336;NOT;;;19;ICPMS;;;173;NOT;;;15;NOT;;;;;;;;;;;;;;678;NOT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.7;ICPMS;;;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[4308] ARNDT N. T.(1998)  [GeoReM [199] ];samp. 2FG-60;73437;SIBERIAN TRAPS / PUTORANA REGION / DELKANSKY FORMATION;MAIMECHA-KOTUI REGION, MAIMECHA RIVER BASIN;72;101;72;101;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.66;TIMS_ID;;;14.69;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.512566;;;;0.1025;0.711509;;;;1.936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[4429] SCHELLEKENS J. H. (1998);samp. VP-187;;GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION;ROBLES-OROCOVIS, RT 567;17.9;-65.75;18.5;-67;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;65.86;0.81;;;14.79;;;;;;;;;;;6.7;;1.81;1.09;0.15;0.02;;;;;;0.96;XRF;;;7.32;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;INAA;;;;;;;72;0;;;;0;80;100;;;;;;13;XRF;;;193;XRF;;;32;XRF;;;94;XRF;;;6;XRF;;;;;;;;;;10;;;0;144;XRF;;;13.5;INAA;;;31;INAA;;;;17;INAA;;;4.2;INAA;;;1.24;;0.9;;;;;2.8;0.42;2.4;;;;;;;;;;;;;;;1.9;INAA;;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[4429] SCHELLEKENS J. H. (1998);samp. VP-186;;GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION;ROBLES-OROCOVIS, RT 567;17.9;-65.75;18.5;-67;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;66.36;0.58;;;15.07;;;;;;;;;;;4.64;;3.39;1.41;0.14;0.11;;;;;;3.27;XRF;;;4.91;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;INAA;;;;;;;62;6.9;;;;0;35;65;;;;;;51;XRF;;;227;XRF;;;28;XRF;;;98;XRF;;;7;XRF;;;;;;;;;;8;;;0;903;XRF;;;11.3;INAA;;;25;INAA;;;;16;INAA;;;3.6;INAA;;;0.94;;0.7;;;;;2.75;0.42;3.4;;;;;;;;;;;;;;;2.1;INAA;;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
