Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),SAMPLING TECHNIQUE,LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,TYPE OF MATERIAL,MINERAL / COMPONENT,CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,SIO2(WT%),TIO2(WT%),AL2O3(WT%),CR2O3(WT%),V2O3(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),CO2(WT%),F(WT%),CL(WT%),SO3(WT%),LOI(WT%),K(WT%): altern. values or methods,,,,F(PPM),AR40(CCMSTP/G): altern. values or methods,,,,SC(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),SN(PPM),SB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),HG(PPB),PB(PPM),TH(PPM),U(PPM),ND143_ND144,SM147_ND144,SR87_SR86: altern. values or methods,,,,PB206_PB204,PB207_PB204,PB208_PB204,HF176_HF177,ALBITE(MOL%),ANORTHITE(MOL%),ENSTATITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),MAGNETITE(MOL%),ORTHOCLASE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(KA): altern. values or methods,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. ASM23,,AZORES / SAO MIGUEL / POVOACAO,500 M TO THE NORTH OF LOCATION 2360,37.72,-25.25,37.72,-25.25,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,56.7,2,17.1,,,,2.8,,3.8,5.2,2.2,,,,,,4.5,4.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972, [635] SCHMINCKE H.-U. (1972),samp. ASM8,,AZORES / SAO MIGUEL / AGUA DE PAO,SEA CLIFF 3 KM EAST,37.72,-25.52,37.72,-25.52,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,OVERLAIN BY BEDDED TUFFS,,,,WHOLE ROCK,,,,,59.2,1.5,16,,,,2.7,,2.8,3.7,2.4,0.14,,,,,5.1,5.3,0.25,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986, [717] CORNEN G. (1986),samp. FN17,,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA,,-3.85,-32.42,-3.85,-32.42,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,51.16,1.25,19.53,,,5.08,,,,3.83,1.6,0.13,,,,,5.38,6.3,0.26,,,,,,,,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990, [1194] HALLIDAY A. N. (1990),samp. P12,10622,CAMEROON LINE / PRINCIPE,"OS DOIS IRMAOS, SOUTHEAST SIDE OF PRINCIPE",1.62,7.45,1.62,7.45,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1115,,,,,,,,,,,36,,,,,,,,,,,,,,,,,0.512922,,0.70322,TIMS,,,20.226,15.68,39.86,,,,,,,,,,,,,,
1990, [1194] HALLIDAY A. N. (1990),samp. P13,10623,CAMEROON LINE / PRINCIPE / EVOLVED SERIES,,1.62,7.45,1.62,7.45,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,1188,,,,,,,,,,,37,,,,,,,,,,,,,,,,,0.512865,,0.70301,TIMS,,,20.237,15.701,39.93,,,,,,,,,,,,,,
1998, [1209] STECHER O. (1998),samp. JAN-70,6976,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,51.75,,,,,,,,,,,,,,,,2.88,,1.04,,,,,,,,,,,,,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998, [1209] STECHER O. (1998),samp. JAN-71,6973,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,52.2,,,,,,,,,,,,,,,,3.15,,1.07,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998, [1209] STECHER O. (1998),samp. JAN-89,6978,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,52.4,,,,,,,,,,,,,,,,3.88,,0.94,,,,,,,,,,,,,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998, [1209] STECHER O. (1998),samp. JAN-82,6979,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,56.95,,,,,,,,,,,,,,,,3.95,,0.54,,,,,,,,,,,,,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998, [1209] STECHER O. (1998),samp. JAN-37,6980,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,56.05,,,,,,,,,,,,,,,,6.14,,0.37,,,,,,,,,,,,,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [1238] FITTON J. G. (1987),samp. P12,10622,CAMEROON LINE / PRINCIPE,"OS DOIS IRMAOS, SOUTHEAST SIDE OF PRINCIPE",1.62,7.45,1.62,7.45,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,53.98,1.08,19.54,,,4.8,,,,5.11,1.42,0.13,,,,,4.41,5.39,0.24,,,,,,,,4.08,,,,,,,,,,2,56,14,,11,4,87,,,180,1115,20,719,119,,,,758,68,111,,36,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,
1994, [1240] LEE DER-CHUEN (1994),samp. P12,10622,CAMEROON LINE / PRINCIPE,"OS DOIS IRMAOS, SOUTHEAST SIDE OF PRINCIPE",1.62,7.45,1.62,7.45,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,6000000,6000000,MIOCENE,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,1097,,,,,,,,,,,35.29,5.7,,,,,,,,,,,,,13.1,,4.57,,,,,,,,,,,,,,,,,,,,,,,
1994, [1240] LEE DER-CHUEN (1994),samp. P13,10623,CAMEROON LINE / PRINCIPE / EVOLVED SERIES,,1.62,7.45,1.62,7.45,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,6000000,6000000,MIOCENE,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,1183,,,,,,,,,,,39.36,6.227,,,,,,,,,,,,,13.9,,4.94,,,,,,,,,,,,,,,,,,,,,,,
1999, [1270] TROENNES R. G. (1999),samp. 70,,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,28,18,,21,102,22,1.7,64,1028,38,357,124,1.4,2,0.3,1139,83,172,18.9,73,14,3.71,9.7,1.5,7.7,1.4,3.8,0.53,3.2,0.44,8.5,8.16,,10,8.5,1.5,0.512872,,0.7035051,TIMS,,,18.689,15.45,38.369,,,,,,,,,,,,,,
1999, [1270] TROENNES R. G. (1999),samp. 82,,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,11,10,21,95,21,1.5,87,893,33,459,147,1.8,30,0.3,1360,94,188,19.7,67,12,3.17,7.5,1.3,6.5,1.2,3.5,0.52,3.3,0.46,11,8.92,,10,13,3,0.512867,,0.7035274,TIMS,,,18.714,15.46,38.391,,,,,,,,,,,,,,
