"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","ERUPTION YEAR","sum_fe","Sum Oxides","CITATION_ID","References"
"shoshonit","1989","[10054] PE-PIPER G. (1989)","samp. M1",NA,"AEGEAN ARC / AEGEAN BACK ARC / MICROTHEBES",NA,3925,232,3925,232,"SUBAERIAL","VOLCANIC ROCK","SHOSHONITE",NA,"WHOLE ROCK",51.5,0.88,17.6,6.28,6.3,2.88,3.26,0.41,1.85,NA,6.217618,95.327618,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"shoshonit","1989","[10054] PE-PIPER G. (1989)","samp. M6",NA,"AEGEAN ARC / AEGEAN BACK ARC / MICROTHEBES",NA,3925,232,3925,232,"SUBAERIAL","VOLCANIC ROCK","SHOSHONITE",NA,"WHOLE ROCK",53,0.84,16.8,8.12,5.95,2.82,3.4,0.41,1.7,NA,5.75872,97.09872,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"shoshonit","1989","[10054] PE-PIPER G. (1989)","samp. T6",NA,"AEGEAN ARC / AEGEAN BACK ARC / ACHILLEION",NA,385,24,385,24,"SUBAERIAL","VOLCANIC ROCK","SHOSHONITE",NA,"WHOLE ROCK",52.43,0.74,18.8,8.05,4.36,2.99,3.88,0.51,1.3,NA,4.130082,95.890082,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"shoshonit","1989","[10054] PE-PIPER G. (1989)","samp. T9",NA,"AEGEAN ARC / AEGEAN BACK ARC / ACHILLEION",NA,385,24,385,24,"SUBAERIAL","VOLCANIC ROCK","SHOSHONITE",NA,"WHOLE ROCK",53.03,0.77,18.63,8.22,4.33,2.71,3.74,0.49,0.99,NA,4.121084,96.041084,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"shoshonit","1989","[10054] PE-PIPER G. (1989)","samp. T4",189850,"AEGEAN ARC / AEGEAN BACK ARC / ACHILLEION",NA,385,24,385,24,"SUBAERIAL","VOLCANIC ROCK","SHOSHONITE",NA,"WHOLE ROCK",53.34,0.77,18.63,8.01,4.41,2.68,3.98,0.47,1.01,NA,3.221284,95.511284,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"trachyandesit","1990","[10062] PRESTVIK T. (1990)","samp. I-19",NA,"PETER I ISLAND / PETER I ISLAND",NA,-68.75,-90.4,-68.92,-90.7,"SUBAERIAL","VOLCANIC ROCK","TRACHYANDESITE","PLEISTOCENE","WHOLE ROCK",57.22,2.32,15.01,5.35,3.65,2.84,4.86,0.44,0.7,NA,7.522328,99.212328,"10062","[10062] PRESTVIK T., BARNES C. G., SUNDVOLL B., DUNCAN R. A.:   PETROLOGY OF PETER I OY (PETER I ISLAND), WEST ANTARCTICA |  J. VOLCANOL. GEOTHERM. RES. 44    [1990]  315-338  | doi: 10.1016/0377-0273(90)90025-B"
"trachyandesit","1994","[1007] BARLING J.(1994)  [GeoReM [220] ]","samp. 69230",10802,"HEARD / HEARD / LAURENS PENINSULA SERIES",NA,-53.12,73.33,-53.12,73.33,"SUBAERIAL","VOLCANIC ROCK","TRACHYANDESITE",NA,"WHOLE ROCK",50.19,3.32,16.48,7,3.77,3.84,4.86,0.86,NA,NA,9.363688,99.683688,"1007","[1007] BARLING J., GOLDSTEIN S. L., NICHOLLS I. A.:   GEOCHEMISTRY OF HEARD ISLAND (SOUTHERN INDIAN OCEAN): CHARACTERIZATION OF AN ENRICHED MANTLE COMPONENT AND IMPLICATIONS FOR ENRICHMENT OF THE SUB-INDIAN OCEAN MANTLE |  J. PETROL. 35    [1994]  1017-1053  | GeoReM-id: 220 | doi: 10.1093/petrology/35.4.1017"
"trachyandesit","1994","[1007] BARLING J.(1994)  [GeoReM [220] ]","samp. 65054",10775,"HEARD / HEARD / LAURENS PENINSULA SERIES",NA,-53.12,73.33,-53.12,73.33,"SUBAERIAL","VOLCANIC ROCK","TRACHYANDESITE",NA,"WHOLE ROCK",50.47,3.32,16.19,7.03,4.08,4.02,4.36,0.79,NA,NA,9.451684,99.711684,"1007","[1007] BARLING J., GOLDSTEIN S. L., NICHOLLS I. A.:   GEOCHEMISTRY OF HEARD ISLAND (SOUTHERN INDIAN OCEAN): CHARACTERIZATION OF AN ENRICHED MANTLE COMPONENT AND IMPLICATIONS FOR ENRICHMENT OF THE SUB-INDIAN OCEAN MANTLE |  J. PETROL. 35    [1994]  1017-1053  | GeoReM-id: 220 | doi: 10.1093/petrology/35.4.1017"
"trachyandesit","1994","[1007] BARLING J.(1994)  [GeoReM [220] ]","samp. 69249",10809,"HEARD / HEARD / LAURENS PENINSULA SERIES",NA,-53.12,73.33,-53.12,73.33,"SUBAERIAL","VOLCANIC ROCK","TRACHYANDESITE",NA,"WHOLE ROCK",53.66,2.14,17.74,5.47,2.47,4.41,5.26,0.73,NA,NA,7.81974,99.69974,"1007","[1007] BARLING J., GOLDSTEIN S. L., NICHOLLS I. A.:   GEOCHEMISTRY OF HEARD ISLAND (SOUTHERN INDIAN OCEAN): CHARACTERIZATION OF AN ENRICHED MANTLE COMPONENT AND IMPLICATIONS FOR ENRICHMENT OF THE SUB-INDIAN OCEAN MANTLE |  J. PETROL. 35    [1994]  1017-1053  | GeoReM-id: 220 | doi: 10.1093/petrology/35.4.1017"
"trachyandesit","1994","[1007] BARLING J.(1994)  [GeoReM [220] ]","samp. 65082",NA,"HEARD / HEARD / BIG BEN SERIES","SOUTH FLANK OF BIG BEN",-53.12,73.5,-53.12,73.5,"SUBAERIAL","VOLCANIC ROCK","TRACHYANDESITE",NA,"WHOLE ROCK",49.5,3.43,14.77,8.05,5.67,3.38,3.73,0.94,NA,NA,10.21966,99.68966,"1007","[1007] BARLING J., GOLDSTEIN S. L., NICHOLLS I. A.:   GEOCHEMISTRY OF HEARD ISLAND (SOUTHERN INDIAN OCEAN): CHARACTERIZATION OF AN ENRICHED MANTLE COMPONENT AND IMPLICATIONS FOR ENRICHMENT OF THE SUB-INDIAN OCEAN MANTLE |  J. PETROL. 35    [1994]  1017-1053  | GeoReM-id: 220 | doi: 10.1093/petrology/35.4.1017"
