"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","ERUPTION YEAR","sum_fe","Sum Oxides","CITATION_ID","References"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669/19",NA,"ETNA/SICILY / AD 1669 FORMATION","MONTI ROSSI NEAR NICOLOSI",37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",48.97,1.4,18.83,8.78,6.38,1.39,4.11,0.49,0.67,"1669",8.575572,98.925572,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669/20",NA,"ETNA/SICILY / AD 1669 FORMATION","MONTI ROSSI NEAR NICOLOSI",37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",48.76,1.38,18.56,8.63,6.73,1.38,4.04,0.48,0.73,"1669",8.807336,98.767336,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669/22",NA,"ETNA/SICILY / AD 1669 FORMATION","MONTI ROSSI NEAR NICOLOSI",37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",48.52,1.44,18.14,8.81,7.01,1.31,3.95,0.48,0.6,"1669",9.323548,98.983548,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669D",187986,"ETNA/SICILY / MONGIBELLO SEQUENCE",NA,37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",48.45,1.49,18.16,8.89,7.01,1.33,3.73,0.42,0.41,"1669",9.59433,99.07433,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669/01",NA,"ETNA/SICILY / AD 1669 FORMATION","MONTI ROSSI NEAR NICOLOSI",37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",49.84,1.3,19.87,9.18,5.18,1.36,4.11,0.43,0.73,"1669",7.691684,98.961684,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669/03",NA,"ETNA/SICILY / AD 1669 FORMATION","MONTI ROSSI NEAR NICOLOSI",37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",49.67,1.36,19.42,9.41,5.2,1.32,4,0.41,0.84,"1669",7.94952,98.73952,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669/13",NA,"ETNA/SICILY / AD 1669 FORMATION","MONTI ROSSI NEAR NICOLOSI",37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",50.5,1.26,19.91,9.11,4.78,1.46,4.34,0.51,0.58,"1669",7.236654,99.106654,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669/14",NA,"ETNA/SICILY / AD 1669 FORMATION","MONTI ROSSI NEAR NICOLOSI",37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",50.04,1.31,19.77,9.1,4.98,1.39,4.23,0.45,0.74,"1669",7.641624,98.911624,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669/16",NA,"ETNA/SICILY / AD 1669 FORMATION","MONTI ROSSI NEAR NICOLOSI",37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",50.33,1.21,19.84,9.02,5.2,1.4,4.27,0.5,0.69,"1669",7.176614,98.946614,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
"hawaiit","1996","[10000] CORSARO R. A. (1996)","samp. 669G",187992,"ETNA/SICILY / MONGIBELLO SEQUENCE",NA,37.73,15,37.73,15,"SUBAERIAL","VOLCANIC ROCK","HAWAIITE","HOLOCENE","WHOLE ROCK",50.14,1.27,19.81,9.08,5.45,1.39,4.19,0.47,0.27,"1669",7.520522,99.320522,"10000","[10000] CORSARO R. A., CRISTOFOLINI R., PATANE L.:   THE 1669 ERUPTION OF MOUNT ETNA: CHRONOLOGY, PETROLOGY AND GEOCHEMISTRY, WITH INFERENCES ON THE MAGMA SOURCES AND ASCENT MECHANISMS |  BULL. VOLCANOL. 58    [1996]  348-358  | doi: 10.1007/s004450050144"
