"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","ERUPTION YEAR","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","sum_fe","Sum Oxides","CITATION_ID","References"
"dacit","1993","[10011] FEELEY T. C. (1993)","samp. OLA9032",58514,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / OLLAGUE / VINTA LOMA SERIES","BORDER N CHILE AND BOLIVIA",-21.283,-68.001,-21.3,-68.183,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",64.4,0.86,16.7,4,1.4,3.2,4.1,0.24,NA,5.1,100,"10011","[10011] FEELEY T. C., DAVIDSON J. P., ARMENDIA A.:   THE VOLCANIC AND MAGMATIC EVOLUTION OF VOLCAN OLLAGÜE, A HIGH-K, LATE QUATERNARY STRATOVOLCANO IN THE ANDEAN CENTRAL VOLCANIC ZONE |  J. VOLCANOL. GEOTHERM. RES. 54    [1993]  221-245  | doi: 10.1016/0377-0273(93)90065-Y"
"dacit","1993","[10011] FEELEY T. C. (1993)","samp. OLA9015",58325,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / OLLAGUE / CHASCA ORKHO SERIES",NA,-21.2,-68,-21.33,-68.033,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",67,0.55,15.4,3.1,1.2,3.8,4.1,0.17,NA,3.3,98.62,"10011","[10011] FEELEY T. C., DAVIDSON J. P., ARMENDIA A.:   THE VOLCANIC AND MAGMATIC EVOLUTION OF VOLCAN OLLAGÜE, A HIGH-K, LATE QUATERNARY STRATOVOLCANO IN THE ANDEAN CENTRAL VOLCANIC ZONE |  J. VOLCANOL. GEOTHERM. RES. 54    [1993]  221-245  | doi: 10.1016/0377-0273(93)90065-Y"
"dacit","1993","[10011] FEELEY T. C. (1993)","samp. OLA9020",58336,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / OLLAGUE / CHASCA ORKHO SERIES",NA,-21.2,-68,-21.33,-68.033,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",65.6,0.57,15.5,3.5,1.4,3.7,4.1,0.18,NA,3.5,98.05,"10011","[10011] FEELEY T. C., DAVIDSON J. P., ARMENDIA A.:   THE VOLCANIC AND MAGMATIC EVOLUTION OF VOLCAN OLLAGÜE, A HIGH-K, LATE QUATERNARY STRATOVOLCANO IN THE ANDEAN CENTRAL VOLCANIC ZONE |  J. VOLCANOL. GEOTHERM. RES. 54    [1993]  221-245  | doi: 10.1016/0377-0273(93)90065-Y"
"dacit","1993","[10011] FEELEY T. C. (1993)","samp. OLA9021",58332,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / OLLAGUE / CHASCA ORKHO SERIES",NA,-21.2,-68,-21.33,-68.033,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",63.5,0.77,16.2,4.4,2.1,3.2,4.4,0.25,NA,4.6,99.42,"10011","[10011] FEELEY T. C., DAVIDSON J. P., ARMENDIA A.:   THE VOLCANIC AND MAGMATIC EVOLUTION OF VOLCAN OLLAGÜE, A HIGH-K, LATE QUATERNARY STRATOVOLCANO IN THE ANDEAN CENTRAL VOLCANIC ZONE |  J. VOLCANOL. GEOTHERM. RES. 54    [1993]  221-245  | doi: 10.1016/0377-0273(93)90065-Y"
"dacit","1993","[10011] FEELEY T. C. (1993)","samp. OLA31",189045,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / OLLAGUE / LA CELOSA SERIES",NA,-21.2875,-68.1875,-21.2875,-68.1875,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",64.7,0.67,16.2,3.7,1.8,3.6,4,0.19,NA,3.9,98.76,"10011","[10011] FEELEY T. C., DAVIDSON J. P., ARMENDIA A.:   THE VOLCANIC AND MAGMATIC EVOLUTION OF VOLCAN OLLAGÜE, A HIGH-K, LATE QUATERNARY STRATOVOLCANO IN THE ANDEAN CENTRAL VOLCANIC ZONE |  J. VOLCANOL. GEOTHERM. RES. 54    [1993]  221-245  | doi: 10.1016/0377-0273(93)90065-Y"
"dacit","1993","[10011] FEELEY T. C. (1993)","samp. OLA33",189046,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / OLLAGUE / LA CELOSA SERIES",NA,-21.3028,-68.1833,-21.3028,-68.1833,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",66.4,0.57,15.7,3,1.2,3.8,4.1,0.17,NA,3.3,98.24,"10011","[10011] FEELEY T. C., DAVIDSON J. P., ARMENDIA A.:   THE VOLCANIC AND MAGMATIC EVOLUTION OF VOLCAN OLLAGÜE, A HIGH-K, LATE QUATERNARY STRATOVOLCANO IN THE ANDEAN CENTRAL VOLCANIC ZONE |  J. VOLCANOL. GEOTHERM. RES. 54    [1993]  221-245  | doi: 10.1016/0377-0273(93)90065-Y"
"dacit","2007","[10020] JICHA B. R.(2007)  [GeoReM [2947] ]","samp. PU 02 40",NA,"ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / PUYEHUE","CORDON CAULLE",-40.5983,-72.1358,-40.5983,-72.1358,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",63.93,1.04,15,4.19,1.81,2.19,4.52,0.32,NA,7.14,100.14,"10020","[10020] JICHA B. R., SINGER B. S., BEARD B. L., JOHNSON CLARK M., MORENO-ROA HUGO, NARANJO J. A.:   RAPID MAGMA ASCENT AND GENERATION OF 230TH EXCESSES IN THE LOWER CRUST AT PUYEHUE-CORDON CAULLE, SOUTHERN VOLCANIC ZONE, CHILE |  EARTH PLANET. SCI. LETT. 255    [2007]  229-242  | GeoReM-id: 2947 | doi: 10.1016/j.epsl.2006.12.017"
"dacit","2007","[10020] JICHA B. R.(2007)  [GeoReM [2947] ]","samp. PU 03 10",NA,"ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / PUYEHUE","CORDON CAULLE",-40.5825,-72.119,-40.5825,-72.119,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",64.66,1.05,14.31,3.37,1.44,2.43,4.5,0.31,NA,6.95,99.02,"10020","[10020] JICHA B. R., SINGER B. S., BEARD B. L., JOHNSON CLARK M., MORENO-ROA HUGO, NARANJO J. A.:   RAPID MAGMA ASCENT AND GENERATION OF 230TH EXCESSES IN THE LOWER CRUST AT PUYEHUE-CORDON CAULLE, SOUTHERN VOLCANIC ZONE, CHILE |  EARTH PLANET. SCI. LETT. 255    [2007]  229-242  | GeoReM-id: 2947 | doi: 10.1016/j.epsl.2006.12.017"
"dacit","2007","[10020] JICHA B. R.(2007)  [GeoReM [2947] ]","samp. PU 03 27",NA,"ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / PUYEHUE","CORDON CAULLE",-40.59,-72.12,-40.59,-72.12,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",66.47,0.6,14.4,2.6,0.63,2.56,5.02,0.15,NA,6.25,98.68,"10020","[10020] JICHA B. R., SINGER B. S., BEARD B. L., JOHNSON CLARK M., MORENO-ROA HUGO, NARANJO J. A.:   RAPID MAGMA ASCENT AND GENERATION OF 230TH EXCESSES IN THE LOWER CRUST AT PUYEHUE-CORDON CAULLE, SOUTHERN VOLCANIC ZONE, CHILE |  EARTH PLANET. SCI. LETT. 255    [2007]  229-242  | GeoReM-id: 2947 | doi: 10.1016/j.epsl.2006.12.017"
"dacit","2007","[10020] JICHA B. R.(2007)  [GeoReM [2947] ]","samp. PU 02 02",NA,"ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / PUYEHUE","CORDON CAULLE",-40.6105,-72.1213,-40.6105,-72.1213,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",68.33,0.59,14.44,2.82,1.24,2.57,4.77,0.13,NA,5.24,100.13,"10020","[10020] JICHA B. R., SINGER B. S., BEARD B. L., JOHNSON CLARK M., MORENO-ROA HUGO, NARANJO J. A.:   RAPID MAGMA ASCENT AND GENERATION OF 230TH EXCESSES IN THE LOWER CRUST AT PUYEHUE-CORDON CAULLE, SOUTHERN VOLCANIC ZONE, CHILE |  EARTH PLANET. SCI. LETT. 255    [2007]  229-242  | GeoReM-id: 2947 | doi: 10.1016/j.epsl.2006.12.017"
