"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","ERUPTION YEAR","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","sum_fe","Sum Oxides","CITATION_ID","References"
"rhyodacit","2007","[10093] HORA J. M. (2007)","samp. PAR-04-01",190989,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PARINACOTA","STRATOVOLCANO, NEVADOS DE PAYACHATA, DOME PLATEAU",-18.2009,-69.18087,-18.2009,-69.18087,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",67.3,0.5,14.5,2.23,1.01,4.09,4.02,0.18,NA,2.645412,96.475412,"10093","[10093] HORA J. M., SINGER B. S., WÖRNER G.:   VOLCANO EVOLUTION AND ERUPTIVE FLUX ON THE THICK CRUST OF THE ANDEAN CENTRAL VOLCANIC ZONE: 40AR/39AR CONSTRAINTS FROM VOLCAN PARINACOTA, CHILE |  BULL. GEOL. SOC. AM. 119    [2007]  343-362  | doi: 10.1130/B25954.1"
"rhyodacit","2007","[10093] HORA J. M. (2007)","samp. PAR-04-02",190984,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PARINACOTA","STRATOVOLCANO, NEVADOS DE PAYACHATA, DOME PLATEAU",-18.21222,-69.15465,-18.21222,-69.15465,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",68.5,0.53,14.6,2.37,1.1,4.18,4.14,0.18,NA,2.78938,98.38938,"10093","[10093] HORA J. M., SINGER B. S., WÖRNER G.:   VOLCANO EVOLUTION AND ERUPTIVE FLUX ON THE THICK CRUST OF THE ANDEAN CENTRAL VOLCANIC ZONE: 40AR/39AR CONSTRAINTS FROM VOLCAN PARINACOTA, CHILE |  BULL. GEOL. SOC. AM. 119    [2007]  343-362  | doi: 10.1130/B25954.1"
"rhyodacit","1989","[10190] SEYMOUR K. ST. (1989)","samp. NS12-1B",NA,"AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / NISYROS / NISYROS","STRATOVOLCANO, PRECALDERA FLOW",36.58,27.22,36.58,27.22,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",69.4,0.36,15.16,2.7,0.75,3,4.4,0.14,0.94,2.65441,98.56441,"10190","[10190] SEYMOUR K. ST., VLASSOPOULOS D.:   THE POTENTIAL FOR FUTURE EXPLOSIVE VOLCANISM ASSOCIATED WITH DOME GROWTH AT NISYROS, AEGEAN VOLCANIC ARC, GREECE |  J. VOLCANOL. GEOTHERM. RES. 37    [1989]  351-364  | doi: 10.1016/0377-0273(89)90089-9"
"rhyodacit","1992","[10229] WÖRNER G. (1992)","samp. POR-002",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PORQUESA",NA,-19.9833,-68.7667,-19.9833,-68.7667,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",67.05,0.54,15.88,2.95,0.98,3.3,4.67,0.2,NA,2.65441,98.22441,"10229","[10229] WÖRNER G., LOPEZ-ESCOBAR L., MOORBATH S., HORN S., ENTENMANN J., HARMON R. S., DAVIDSON J. D.:   LOCAL AND REGIONAL GEOCHEMICAL VARIATIONS IN THE QUATERNARY VOLCANIC FRONT OF THE CENTRAL ANDES (17°30´-22°00´S), NORTHERN CHILE |  REV. GEOL. CHILE 19    [1992]  37-59"
"rhyodacit","1992","[10229] WÖRNER G. (1992)","samp. OLA-010",197767,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / OLLAGUE",NA,-21.2694,-68.2694,-21.2694,-68.2694,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",66.19,0.57,15.55,3.02,1.2,3.72,4.08,0.16,NA,3.248278,97.738278,"10229","[10229] WÖRNER G., LOPEZ-ESCOBAR L., MOORBATH S., HORN S., ENTENMANN J., HARMON R. S., DAVIDSON J. D.:   LOCAL AND REGIONAL GEOCHEMICAL VARIATIONS IN THE QUATERNARY VOLCANIC FRONT OF THE CENTRAL ANDES (17°30´-22°00´S), NORTHERN CHILE |  REV. GEOL. CHILE 19    [1992]  37-59"
"rhyodacit","1992","[10229] WÖRNER G. (1992)","samp. OLA-033",189046,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / OLLAGUE / LA CELOSA SERIES",NA,-21.3028,-68.1833,-21.3028,-68.1833,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",66.38,0.57,15.68,3.04,1.21,3.77,4.08,0.17,NA,3.302266,98.202266,"10229","[10229] WÖRNER G., LOPEZ-ESCOBAR L., MOORBATH S., HORN S., ENTENMANN J., HARMON R. S., DAVIDSON J. D.:   LOCAL AND REGIONAL GEOCHEMICAL VARIATIONS IN THE QUATERNARY VOLCANIC FRONT OF THE CENTRAL ANDES (17°30´-22°00´S), NORTHERN CHILE |  REV. GEOL. CHILE 19    [1992]  37-59"
"rhyodacit","1980","[10250] PICHLER H. (1980)","samp. LI II B",NA,"AEOLIAN ARC / ITALY / LIPARI","PERIOD II B, OLD CAVE AT THE ROAD SOMEWHAT E OF BELVEDERE",38.28,14.58,38.53,14.9,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",60.5,0.6,15.8,4.9,2.3,3.8,2.4,0.16,NA,5.8491,96.3091,"10250","[10250] PICHLER H.:   THE ISLAND OF LIPARI |    VILLARI, L. | THE AEOLIAN ISLANDS | ISTITUTO INTERNAZIONALE DI VULCANOLOGIA  [1980]  75-100"
"rhyodacit","1980","[10250] PICHLER H. (1980)","samp. 3",NA,"AEOLIAN ARC / ITALY / LIPARI","PERIOD II C, SUMMIT FLOW OF MONTE SANT^ANGELO, SOUTHERN RIM",38.28,14.58,38.53,14.9,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",59.3,0.6,16.5,5.3,2.2,3.5,2,0.2,NA,6.36914,95.96914,"10250","[10250] PICHLER H.:   THE ISLAND OF LIPARI |    VILLARI, L. | THE AEOLIAN ISLANDS | ISTITUTO INTERNAZIONALE DI VULCANOLOGIA  [1980]  75-100"
"rhyodacit","1992","[10298] STEFAN A. (1992)","samp. 9356",NA,"CARPATHIAN BELT AND PANNONIAN BASIN / SOUTHERN PANNONIAN-EASTERN CARPATHIAN (TISZA-DACIA / APUSENI MOUNTAINS","FAGULUI VALLEY, NORTHERN APUSENI MOUNTAINS",45,23,47,25,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE","PHANEROZOIC",NA,"WHOLE ROCK",70,0.44,13.82,2.58,1.31,4.15,2.91,0.13,NA,2.506454,97.846454,"10298","[10298] STEFAN A., ROSU E., ANDAR A., ROBU L., ROBU N., BRATOSIN I., GRABARI G., STOIAN M., VAJDEA E., COLIOS E.:   PETROLOGICAL AND GEOCHEMICAL FEATURES OF BANATITIC MAGMATITES IN NORTHERN APUSENI MOUNTAINS |  ROM. J. PETROL 75    [1992]  97-115"
"comendite","1990","[10315] LE MASURIER W. E. (1990)","samp. 76D",NA,"ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / TONEY MOUNTAIN",NA,-75.7997,-115.7998,-75.7997,-115.7998,"SUBAERIAL","VOLCANIC ROCK","COMENDITIC RHYOLITE","PLEISTOCENE",NA,"WHOLE ROCK",72.26,0.16,12.54,0.27,0.09,4.21,6.11,0.02,NA,3.382626,99.042626,"10315","[10315] LE MASURIER W. E., THOMSON J. W.:   VOLCANOES OF THE ANTARCTIC PLATE AND SOUTHERN OCEANS |  ANTARCTIC RES. SER. 48    [1990]  1-481  | doi: 10.1029/AR048"
