"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","ERUPTION YEAR","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","sum_fe","Sum Oxides","CITATION_ID","References"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. B30",NA,"ANATOLIA-IRAN BELT / TURKEY / CENTRAL ANATOLIAN VOLCANIC BELT","BODRUM",36.17,32.8,36.17,32.8,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",58.74,0.55,16.28,5.06,2.24,4.55,3.63,0.28,4,4.0491,95.3791,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. KA6",NA,"AEGEAN ARC / AEGEAN BACK ARC / PORPHYRION",NA,39.2,23.8,39.2,23.8,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",55.78,0.73,17.61,6.35,5.66,3.34,3.98,0.29,1.2,1.295712,95.035712,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. KA3",189852,"AEGEAN ARC / AEGEAN BACK ARC / PORPHYRION",NA,39.2,23.8,39.2,23.8,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",56.25,0.75,17.97,6.63,5.36,3.33,4.14,0.27,0.34,0.773828,95.473828,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. KA10",NA,"AEGEAN ARC / AEGEAN BACK ARC / PORPHYRION",NA,39.2,23.8,39.2,23.8,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",56.71,0.74,17.21,6.3,5.48,3.52,3.91,0.3,0.44,0.746834,94.916834,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. KA9",NA,"AEGEAN ARC / AEGEAN BACK ARC / PORPHYRION",NA,39.2,23.8,39.2,23.8,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",56.82,0.73,16.23,7.4,4.64,3.38,3.96,0.3,0.52,1.268718,94.728718,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. L1",NA,"AEGEAN ARC / AEGEAN BACK ARC / LIKHADES",NA,38.5,24,38.5,24,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",56.82,0.86,18.2,6.13,4.18,3.49,4.04,0.27,1.02,0.728838,94.718838,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. L6",NA,"AEGEAN ARC / AEGEAN BACK ARC / LIKHADES",NA,38.5,24,38.5,24,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",57.15,0.82,18.16,6.14,4.07,3.27,3.89,0.23,0.85,1.565652,95.295652,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. L5",NA,"AEGEAN ARC / AEGEAN BACK ARC / LIKHADES",NA,38.5,24,38.5,24,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",56.94,0.84,17.91,6.18,4.8,3.49,3.91,0.26,0.69,0.737836,95.067836,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. L10",NA,"AEGEAN ARC / AEGEAN BACK ARC / LIKHADES",NA,38.5,24,38.5,24,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",57.37,0.8,18.1,6.12,4.25,3.18,4.03,0.27,0.68,1.340702,95.460702,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. AI5",NA,"AEGEAN ARC / AEGEAN BACK ARC / KAM(M)ENA VOURLA",NA,38.8,22.5,38.8,22.5,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",56.91,0.76,17.52,5.94,4.8,3.28,3.57,0.25,1.57,0.76483,93.79483,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","1989","[10054] PE-PIPER G. (1989)","samp. AI2",NA,"AEGEAN ARC / AEGEAN BACK ARC / KAM(M)ENA VOURLA",NA,38.8,22.5,38.8,22.5,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",57.98,0.74,16.6,5.91,4.86,3.13,3.71,0.24,1.11,0.647856,93.817856,"10054","[10054] PE-PIPER G., PIPER D. J. W.:   SPATIAL AND TEMPORAL VARIATION IN LATE CENOZOIC BACK-ARC VOLCANIC ROCKS, AEGEAN SEA REGION |  TECTONOPHYSICS 169    [1989]  113-134  | doi: 10.1016/0040-1951(89)90186-8"
"latit","2007","[10088] DI RENZO V.(2007)  [GeoReM [3482] ]","samp. 50.9",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","CAMALDOLI DELLA TORRE DRILL HOLE",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",53.69,0.76,19.61,6.38,2.06,6.2,3.08,0.46,0.1,6.83848,99.07848,"10088","[10088] DI RENZO V., DI VITO M. A., ARIWNZO I., CARANDENTE A., CIVETTA L., D^ANTONIO M., GIORDANO D., ORSI G., TONARINI S.:   MAGMATIC HISTORY OF SOMMA-VESUVIUS ON THE BASIS OF NEW GEOCHEMICAL AND ISOTOPIC DATA FROM A DEEP BOREHOLE (CAMALDOLI DELLA TORRE) |  J. PETROL. 48    [2007]  753-784  | GeoReM-id: 3482 | doi: 10.1093/petrology/egl081"
"latit","2007","[10088] DI RENZO V.(2007)  [GeoReM [3482] ]","samp. 49.5",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","CAMALDOLI DELLA TORRE DRILL HOLE",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",53.66,0.76,19.54,6.42,2.07,5.43,3.57,0.46,0.62,6.829482,98.739482,"10088","[10088] DI RENZO V., DI VITO M. A., ARIWNZO I., CARANDENTE A., CIVETTA L., D^ANTONIO M., GIORDANO D., ORSI G., TONARINI S.:   MAGMATIC HISTORY OF SOMMA-VESUVIUS ON THE BASIS OF NEW GEOCHEMICAL AND ISOTOPIC DATA FROM A DEEP BOREHOLE (CAMALDOLI DELLA TORRE) |  J. PETROL. 48    [2007]  753-784  | GeoReM-id: 3482 | doi: 10.1093/petrology/egl081"
"latit","2007","[10088] DI RENZO V.(2007)  [GeoReM [3482] ]","samp. 16.7",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","CAMALDOLI DELLA TORRE DRILL HOLE",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",48.41,0.87,18.44,8,3.19,8.36,2.74,0.63,0.84,7.675294,98.315294,"10088","[10088] DI RENZO V., DI VITO M. A., ARIWNZO I., CARANDENTE A., CIVETTA L., D^ANTONIO M., GIORDANO D., ORSI G., TONARINI S.:   MAGMATIC HISTORY OF SOMMA-VESUVIUS ON THE BASIS OF NEW GEOCHEMICAL AND ISOTOPIC DATA FROM A DEEP BOREHOLE (CAMALDOLI DELLA TORRE) |  J. PETROL. 48    [2007]  753-784  | GeoReM-id: 3482 | doi: 10.1093/petrology/egl081"
"latit","1981","[10152] NICOLETTI M. (1981)","samp. VS36",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / LATERA (VULSINI VOLCANIC DISTRICT)","PONTE SODO, VULCI, F. FIORA",42.63,11.83,42.63,11.83,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",55.59,1.06,17.76,5.67,2.58,6.38,1.78,0.39,NA,6.996174,98.206174,"10152","[10152] NICOLETTI M., PETRUCCIANI C., PIRO M., TRIGILA R.:   NEW DATING OF VULSINI NOTE II: THE SOUTH-WESTERN DISTRICT |  PER. MINERAL. 50    [1981]  141-169"
"latit","1981","[10152] NICOLETTI M. (1981)","samp. VS37",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / LATERA (VULSINI VOLCANIC DISTRICT)","PONTE SODO, VULCI, F. FIORA",42.63,11.83,42.63,11.83,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",55.07,1,17.29,5.67,2.6,6.32,1.99,0.37,NA,7.08427,97.39427,"10152","[10152] NICOLETTI M., PETRUCCIANI C., PIRO M., TRIGILA R.:   NEW DATING OF VULSINI NOTE II: THE SOUTH-WESTERN DISTRICT |  PER. MINERAL. 50    [1981]  141-169"
